experiment,Paramecium,s_b_ex,s_Y
1,1,0.102127671905428,0.263086883207667
1,2,0.0676672078350862,0.257327130498152
1,3,0.0865315835479052,0.260673214861601
1,4,0.0827636175831172,0.249230233536881
1,5,0.0900997551253271,0.23341877164924
1,6,0.086432239305801,0.226169234524687
1,7,0.0917886158570573,0.256117177002992
1,8,0.0792221346293812,0.2712369595986
1,9,0.0600712074030388,0.254675938041313
1,10,0.0606401089840657,0.258415121854199
