cell,chloroplast,start_time,end_time,move_time
1,1,10,17,7
1,2,2,68,66
1,3,45,73,28
1,4,23,63,40
1,5,30,83,53
1,6,33,75,42
1,7,44,82,38
1,8,10,19,9
1,9,20,62,42
1,10,22,37,15
1,11,12,32,20
