time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.209090680000001,-0.130426585,-0.0726143175,-0.037202165,-0.00513831199999999,0.01881922,0.03578616,0.052366525,0.06688253,0.080421,0.09448012,0.1181795,0.1434782,0.15802145,0.1721961,0.18898925,0.2067084,0.22490305,0.2518649,0.28996025,0.32481255,0.391121965,-0.130426585,-0.0726143175,-0.037202165,-0.00513831199999999,0.01881922,0.03578616,0.052366525,0.06688253,0.080421,0.09448012,0.1181795,0.1434782,0.15802145,0.1721961,0.18898925,0.2067084,0.22490305,0.2518649,0.28996025,0.32481255,0.391121965,,,,,,,,,,,,,,,,,,,,,
-27,0,0.206854479999999,-0.140206595,-0.07057016,-0.043220905,-0.007851169,0.015866065,0.0364911,0.0525761,0.06691965,0.08113033,0.09446292,0.1195725,0.1443476,0.15705305,0.1691849,0.1838095,0.1984612,0.21732045,0.2410328,0.28001685,0.313743,0.37120811,-0.140206595,-0.07057016,-0.043220905,-0.007851169,0.015866065,0.0364911,0.0525761,0.06691965,0.08113033,0.09446292,0.1195725,0.1443476,0.15705305,0.1691849,0.1838095,0.1984612,0.21732045,0.2410328,0.28001685,0.313743,0.37120811,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.41594516,-0.517485845,-0.448018175,-0.4116304,-0.3731134,-0.3496577,-0.3307436,-0.31267625,-0.2959168,-0.2804689,-0.265663,-0.2390245,-0.2129248,-0.19983,-0.1852529,-0.16980125,-0.1524504,-0.1335892,-0.1088171,-0.06840281,-0.0401307,0.014021507,-0.517485845,-0.448018175,-0.4116304,-0.3731134,-0.3496577,-0.3307436,-0.31267625,-0.2959168,-0.2804689,-0.265663,-0.2390245,-0.2129248,-0.19983,-0.1852529,-0.16980125,-0.1524504,-0.1335892,-0.1088171,-0.06840281,-0.0401307,0.014021507,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.20682991,-0.390215485,-0.324618575,-0.289959,-0.2500397,-0.2235275,-0.206597,-0.18785375,-0.1736272,-0.15964025,-0.1475582,-0.121454,-0.09528104,-0.083389515,-0.06936661,-0.054399875,-0.0373359,-0.01901297,0.00805147499999995,0.044047395,0.0753233375000001,0.1341813,-0.390215485,-0.324618575,-0.289959,-0.2500397,-0.2235275,-0.206597,-0.18785375,-0.1736272,-0.15964025,-0.1475582,-0.121454,-0.09528104,-0.083389515,-0.06936661,-0.054399875,-0.0373359,-0.01901297,0.00805147499999995,0.044047395,0.0753233375000001,0.1341813,,,,,,,,,,,,,,,,,,,,,
-24,0,0,-0.268863305,-0.19710675,-0.1652113,-0.1265902,-0.10119335,-0.0801616,-0.064500075,-0.04939785,-0.036453255,-0.02403454,0.001503745,0.02809414,0.040700825,0.05203485,0.067349625,0.08408174,0.10396785,0.1294025,0.15923885,0.18796885,0.248910365,-0.268863305,-0.19710675,-0.1652113,-0.1265902,-0.10119335,-0.0801616,-0.064500075,-0.04939785,-0.036453255,-0.02403454,0.001503745,0.02809414,0.040700825,0.05203485,0.067349625,0.08408174,0.10396785,0.1294025,0.15923885,0.18796885,0.248910365,,,,,,,,,,,,,,,,,,,,,
-23,0,0,-0.24148986,-0.192745025,-0.16160395,-0.1280107,-0.10634325,-0.08491844,-0.06745065,-0.05166416,-0.03757171,-0.02380448,-0.000406445,0.02351308,0.035715585,0.04912693,0.063972725,0.0822071400000001,0.10401265,0.1276352,0.1610071,0.191839975,0.254827915,-0.24148986,-0.192745025,-0.16160395,-0.1280107,-0.10634325,-0.08491844,-0.06745065,-0.05166416,-0.03757171,-0.02380448,-0.000406445,0.02351308,0.035715585,0.04912693,0.063972725,0.0822071400000001,0.10401265,0.1276352,0.1610071,0.191839975,0.254827915,,,,,,,,,,,,,,,,,,,,,
-22,0,0,-0.259807135,-0.189799475,-0.1621963,-0.1297374,-0.10649625,-0.08587678,-0.070144825,-0.05712781,-0.04272119,-0.03004962,-0.00393437,0.0232256,0.03611853,0.04938575,0.0637981,0.07965754,0.09775395,0.1245202,0.1590687,0.188203775,0.250843365,-0.259807135,-0.189799475,-0.1621963,-0.1297374,-0.10649625,-0.08587678,-0.070144825,-0.05712781,-0.04272119,-0.03004962,-0.00393437,0.0232256,0.03611853,0.04938575,0.0637981,0.07965754,0.09775395,0.1245202,0.1590687,0.188203775,0.250843365,,,,,,,,,,,,,,,,,,,,,
-21,0,0,-0.26126913,-0.200198025,-0.16863825,-0.12897,-0.1054826,-0.08498994,-0.069277175,-0.05422768,-0.039042765,-0.02511728,-0.000290029,0.02476512,0.03707526,0.05101753,0.06705015,0.08402396,0.1008493,0.1234287,0.1600844,0.193256375,0.249879965,-0.26126913,-0.200198025,-0.16863825,-0.12897,-0.1054826,-0.08498994,-0.069277175,-0.05422768,-0.039042765,-0.02511728,-0.000290029,0.02476512,0.03707526,0.05101753,0.06705015,0.08402396,0.1008493,0.1234287,0.1600844,0.193256375,0.249879965,,,,,,,,,,,,,,,,,,,,,
-20,0,0.21135052,-0.139911995,-0.078401625,-0.045013925,-0.01026936,0.0136518,0.03490566,0.05045565,0.06704872,0.080371705,0.09492772,0.120781,0.1465448,0.16017925,0.1746676,0.1897865,0.2056742,0.22333905,0.2465829,0.2821896,0.3159263,0.379490335,-0.139911995,-0.078401625,-0.045013925,-0.01026936,0.0136518,0.03490566,0.05045565,0.06704872,0.080371705,0.09492772,0.120781,0.1465448,0.16017925,0.1746676,0.1897865,0.2056742,0.22333905,0.2465829,0.2821896,0.3159263,0.379490335,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.21135052,-0.37842954,-0.32210685,-0.2930123,-0.2524645,-0.2260458,-0.2052126,-0.18970275,-0.1759266,-0.16238345,-0.1495554,-0.125165,-0.09940868,-0.086772655,-0.0727517800000001,-0.059557425,-0.04214326,-0.023424585,0.00226828099999999,0.0376481199999998,0.0631902975,0.12541923,-0.37842954,-0.32210685,-0.2930123,-0.2524645,-0.2260458,-0.2052126,-0.18970275,-0.1759266,-0.16238345,-0.1495554,-0.125165,-0.09940868,-0.086772655,-0.0727517800000001,-0.059557425,-0.04214326,-0.023424585,0.00226828099999999,0.0376481199999998,0.0631902975,0.12541923,,,,,,,,,,,,,,,,,,,,,
-18,0,0,-0.25629704,-0.1952896,-0.16318915,-0.1274194,-0.10079415,-0.0828088,-0.06730235,-0.05168952,-0.03945986,-0.02586624,-0.001151915,0.02421536,0.037525965,0.05170016,0.067555325,0.08602502,0.10562095,0.1266328,0.15949525,0.1939152,0.250188355,-0.25629704,-0.1952896,-0.16318915,-0.1274194,-0.10079415,-0.0828088,-0.06730235,-0.05168952,-0.03945986,-0.02586624,-0.001151915,0.02421536,0.037525965,0.05170016,0.067555325,0.08602502,0.10562095,0.1266328,0.15949525,0.1939152,0.250188355,,,,,,,,,,,,,,,,,,,,,
-17,0,0,-0.25467737,-0.193574975,-0.1619504,-0.1261397,-0.10221945,-0.08108404,-0.0622737,-0.04897959,-0.035492725,-0.0239338,0.000579866,0.02428654,0.037901665,0.05062965,0.0648831,0.08036824,0.1018836,0.1258095,0.1606745,0.194115225,0.246534180000001,-0.25467737,-0.193574975,-0.1619504,-0.1261397,-0.10221945,-0.08108404,-0.0622737,-0.04897959,-0.035492725,-0.0239338,0.000579866,0.02428654,0.037901665,0.05062965,0.0648831,0.08036824,0.1018836,0.1258095,0.1606745,0.194115225,0.246534180000001,,,,,,,,,,,,,,,,,,,,,
-16,0,-0.20449421,-0.38457722,-0.317415325,-0.2853218,-0.2444163,-0.2213026,-0.2034776,-0.18552025,-0.1694732,-0.15521705,-0.14152,-0.118751,-0.09519762,-0.082129375,-0.06763058,-0.053353175,-0.03636516,-0.016220175,0.00725026099999998,0.0406342799999999,0.074123735,0.13076995,-0.38457722,-0.317415325,-0.2853218,-0.2444163,-0.2213026,-0.2034776,-0.18552025,-0.1694732,-0.15521705,-0.14152,-0.118751,-0.09519762,-0.082129375,-0.06763058,-0.053353175,-0.03636516,-0.016220175,0.00725026099999998,0.0406342799999999,0.074123735,0.13076995,,,,,,,,,,,,,,,,,,,,,
