time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.403651181,0.12211309,0.1691295,0.1928237,0.2205484,0.23969095,0.2545814,0.2674955,0.2780993,0.2879112,0.298285,0.31804,0.3373396,0.34624035,0.3569469,0.3669285,0.379665,0.39477045,0.413944,0.4410503,0.46349155,0.511844395,0.12211309,0.1691295,0.1928237,0.2205484,0.23969095,0.2545814,0.2674955,0.2780993,0.2879112,0.298285,0.31804,0.3373396,0.34624035,0.3569469,0.3669285,0.379665,0.39477045,0.413944,0.4410503,0.46349155,0.511844395,,,,,,,,,,,,,,,,,,,,,
-27,0,0.311607963,0.063224135,0.0991210125,0.1223629,0.1497991,0.1666093,0.1827622,0.193968,0.2039717,0.213259,0.2238114,0.244442,0.2624658,0.27233965,0.2821258,0.2935635,0.307281,0.32139,0.3395041,0.36901865,0.393273,0.44727029,0.063224135,0.0991210125,0.1223629,0.1497991,0.1666093,0.1827622,0.193968,0.2039717,0.213259,0.2238114,0.244442,0.2624658,0.27233965,0.2821258,0.2935635,0.307281,0.32139,0.3395041,0.36901865,0.393273,0.44727029,,,,,,,,,,,,,,,,,,,,,
-26,0,0.436737767,0.15378917,0.19542665,0.22074535,0.2453298,0.26317245,0.277914,0.29188375,0.3033843,0.3131926,0.3239506,0.3410695,0.3624538,0.37371635,0.3846148,0.39675725,0.4090736,0.42275715,0.4421594,0.46749345,0.492155975,0.54330413,0.15378917,0.19542665,0.22074535,0.2453298,0.26317245,0.277914,0.29188375,0.3033843,0.3131926,0.3239506,0.3410695,0.3624538,0.37371635,0.3846148,0.39675725,0.4090736,0.42275715,0.4421594,0.46749345,0.492155975,0.54330413,,,,,,,,,,,,,,,,,,,,,
-25,0,0.228707606,-0.0077533782,0.0326214325,0.05566774,0.08321741,0.1015975,0.1144324,0.1278285,0.1382484,0.14840345,0.1597824,0.1793945,0.197805,0.2070894,0.2171108,0.22897425,0.2412296,0.2568119,0.2754425,0.3021411,0.3253936,0.368650205,-0.0077533782,0.0326214325,0.05566774,0.08321741,0.1015975,0.1144324,0.1278285,0.1382484,0.14840345,0.1597824,0.1793945,0.197805,0.2070894,0.2171108,0.22897425,0.2412296,0.2568119,0.2754425,0.3021411,0.3253936,0.368650205,,,,,,,,,,,,,,,,,,,,,
-24,0,0.324676406,0.069799476,0.1148033,0.13691805,0.162912,0.179568,0.1956628,0.20762225,0.2171908,0.225987,0.2350986,0.254233,0.2741252,0.2833067,0.2931606,0.30482475,0.3168078,0.3301563,0.3485764,0.37454335,0.40033175,0.450827185,0.069799476,0.1148033,0.13691805,0.162912,0.179568,0.1956628,0.20762225,0.2171908,0.225987,0.2350986,0.254233,0.2741252,0.2833067,0.2931606,0.30482475,0.3168078,0.3301563,0.3485764,0.37454335,0.40033175,0.450827185,,,,,,,,,,,,,,,,,,,,,
-23,0,0.198402881,-0.0254554265,0.0118534175,0.031900465,0.06006855,0.07724576,0.09185266,0.10505875,0.1161489,0.1265418,0.1357722,0.1544705,0.174081,0.18361115,0.1935546,0.20451175,0.216479,0.231706,0.2509248,0.2782102,0.301711675,0.342056765,-0.0254554265,0.0118534175,0.031900465,0.06006855,0.07724576,0.09185266,0.10505875,0.1161489,0.1265418,0.1357722,0.1544705,0.174081,0.18361115,0.1935546,0.20451175,0.216479,0.231706,0.2509248,0.2782102,0.301711675,0.342056765,,,,,,,,,,,,,,,,,,,,,
-22,0,0.158899062,-0.061419696,-0.019265155,0.003239544,0.03004388,0.049402925,0.06363916,0.0753823,0.0862011,0.09525525,0.1059072,0.125576,0.1450376,0.1552329,0.1656461,0.1759245,0.1882002,0.20165525,0.2217813,0.2514554,0.2769017,0.328734975,-0.061419696,-0.019265155,0.003239544,0.03004388,0.049402925,0.06363916,0.0753823,0.0862011,0.09525525,0.1059072,0.125576,0.1450376,0.1552329,0.1656461,0.1759245,0.1882002,0.20165525,0.2217813,0.2514554,0.2769017,0.328734975,,,,,,,,,,,,,,,,,,,,,
-21,0,0,-0.186959745,-0.143939575,-0.12583475,-0.09577628,-0.0784238,-0.06309382,-0.05014165,-0.03833405,-0.02827983,-0.01845842,0.0004916825,0.019572,0.02972359,0.03978405,0.050036075,0.06227792,0.07729151,0.09368166,0.11850585,0.1462493,0.185290325,-0.186959745,-0.143939575,-0.12583475,-0.09577628,-0.0784238,-0.06309382,-0.05014165,-0.03833405,-0.02827983,-0.01845842,0.0004916825,0.019572,0.02972359,0.03978405,0.050036075,0.06227792,0.07729151,0.09368166,0.11850585,0.1462493,0.185290325,,,,,,,,,,,,,,,,,,,,,
-20,0,0.0872483280000003,-0.116516475,-0.0713926375,-0.050930315,-0.0240215,-0.0087630925,0.006023568,0.018459775,0.03016284,0.040511425,0.0493663,0.0688308,0.08752528,0.096575285,0.1073961,0.11979925,0.1314312,0.147199,0.1646527,0.193068,0.2172191,0.26847375,-0.116516475,-0.0713926375,-0.050930315,-0.0240215,-0.0087630925,0.006023568,0.018459775,0.03016284,0.040511425,0.0493663,0.0688308,0.08752528,0.096575285,0.1073961,0.11979925,0.1314312,0.147199,0.1646527,0.193068,0.2172191,0.26847375,,,,,,,,,,,,,,,,,,,,,
-19,0,0.352837564,0.080362484,0.126429025,0.15282505,0.1821206,0.1998331,0.2137156,0.2254975,0.2362249,0.2467173,0.2563072,0.273866,0.2943556,0.30411895,0.3148284,0.32594975,0.3374348,0.3518059,0.3700115,0.3982617,0.4268832,0.469455570000001,0.080362484,0.126429025,0.15282505,0.1821206,0.1998331,0.2137156,0.2254975,0.2362249,0.2467173,0.2563072,0.273866,0.2943556,0.30411895,0.3148284,0.32594975,0.3374348,0.3518059,0.3700115,0.3982617,0.4268832,0.469455570000001,,,,,,,,,,,,,,,,,,,,,
