time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0,-0.25294666,-0.1952684,-0.16045355,-0.1240829,-0.100684,-0.08285518,-0.06800865,-0.05316278,-0.037064965,-0.02362788,0.002351045,0.0268422,0.039577735,0.0535305,0.06781585,0.08301732,0.09882533,0.1235487,0.15828965,0.186740325,0.26340378,-0.25294666,-0.1952684,-0.16045355,-0.1240829,-0.100684,-0.08285518,-0.06800865,-0.05316278,-0.037064965,-0.02362788,0.002351045,0.0268422,0.039577735,0.0535305,0.06781585,0.08301732,0.09882533,0.1235487,0.15828965,0.186740325,0.26340378,,,,,,,,,,,,,,,,,,,,,
-27,0,-0.24131405,-0.397802465,-0.34751085,-0.3120484,-0.2745194,-0.24696815,-0.2293314,-0.21342475,-0.1989435,-0.1854044,-0.1736774,-0.1471185,-0.1217164,-0.1087442,-0.09557415,-0.08222175,-0.06540804,-0.04806708,-0.02503621,0.00884472649999999,0.0324235850000001,0.0932193125,-0.397802465,-0.34751085,-0.3120484,-0.2745194,-0.24696815,-0.2293314,-0.21342475,-0.1989435,-0.1854044,-0.1736774,-0.1471185,-0.1217164,-0.1087442,-0.09557415,-0.08222175,-0.06540804,-0.04806708,-0.02503621,0.00884472649999999,0.0324235850000001,0.0932193125,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.0491094400000005,-0.280954185,-0.227182625,-0.1941901,-0.1588767,-0.1342176,-0.1159626,-0.098285475,-0.08417353,-0.06935119,-0.0564744,-0.03257925,-0.00796239399999998,0.004698009,0.0186467999999999,0.032162375,0.0491908,0.067211015,0.08946417,0.12754885,0.155420325,0.221609905,-0.280954185,-0.227182625,-0.1941901,-0.1588767,-0.1342176,-0.1159626,-0.098285475,-0.08417353,-0.06935119,-0.0564744,-0.03257925,-0.00796239399999998,0.004698009,0.0186467999999999,0.032162375,0.0491908,0.067211015,0.08946417,0.12754885,0.155420325,0.221609905,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.24041323,-0.4049877,-0.33870405,-0.3072584,-0.2738931,-0.2493472,-0.231577,-0.21383075,-0.1974044,-0.1842921,-0.1693982,-0.1450565,-0.120106,-0.1077774,-0.09602263,-0.080313625,-0.06602986,-0.04701805,-0.0238442,0.013217765,0.0436840525000002,0.112605365,-0.4049877,-0.33870405,-0.3072584,-0.2738931,-0.2493472,-0.231577,-0.21383075,-0.1974044,-0.1842921,-0.1693982,-0.1450565,-0.120106,-0.1077774,-0.09602263,-0.080313625,-0.06602986,-0.04701805,-0.0238442,0.013217765,0.0436840525000002,0.112605365,,,,,,,,,,,,,,,,,,,,,
-24,0,0.05448685,-0.21256517,-0.1580639,-0.1310705,-0.09217937,-0.06799894,-0.0490705,-0.032932125,-0.01922332,-0.00556987100000001,0.00801805800000001,0.03213865,0.05627094,0.06935252,0.08178266,0.095363,0.111852,0.13244445,0.1550474,0.1916,0.220140525,0.28793823,-0.21256517,-0.1580639,-0.1310705,-0.09217937,-0.06799894,-0.0490705,-0.032932125,-0.01922332,-0.00556987100000001,0.00801805800000001,0.03213865,0.05627094,0.06935252,0.08178266,0.095363,0.111852,0.13244445,0.1550474,0.1916,0.220140525,0.28793823,,,,,,,,,,,,,,,,,,,,,
-23,0,-0.22851243,-0.396250795,-0.328769525,-0.29475885,-0.2607224,-0.2383975,-0.2205282,-0.20362475,-0.1885597,-0.1732833,-0.161679,-0.1374635,-0.1125104,-0.09916235,-0.0844220500000001,-0.070348075,-0.05408392,-0.035950085,-0.01249076,0.0218748399999999,0.0563706625,0.120725155,-0.396250795,-0.328769525,-0.29475885,-0.2607224,-0.2383975,-0.2205282,-0.20362475,-0.1885597,-0.1732833,-0.161679,-0.1374635,-0.1125104,-0.09916235,-0.0844220500000001,-0.070348075,-0.05408392,-0.035950085,-0.01249076,0.0218748399999999,0.0563706625,0.120725155,,,,,,,,,,,,,,,,,,,,,
-22,0,-0.0599846300000007,-0.302179995,-0.236733025,-0.19952415,-0.161108,-0.13731135,-0.1178254,-0.1017365,-0.08720107,-0.074140725,-0.0619414,-0.0372911,-0.0144248,7.54211149999974e-05,0.01494632,0.03032485,0.04599786,0.065834565,0.08954669,0.12717765,0.1628038,0.217520565,-0.302179995,-0.236733025,-0.19952415,-0.161108,-0.13731135,-0.1178254,-0.1017365,-0.08720107,-0.074140725,-0.0619414,-0.0372911,-0.0144248,7.54211149999974e-05,0.01494632,0.03032485,0.04599786,0.065834565,0.08954669,0.12717765,0.1628038,0.217520565,,,,,,,,,,,,,,,,,,,,,
-21,0,-0.288312139999999,-0.43148721,-0.370372825,-0.34341535,-0.3046356,-0.2802758,-0.2608568,-0.245555,-0.2304943,-0.2158352,-0.1999584,-0.1762095,-0.151565,-0.13871575,-0.1237842,-0.1067055,-0.0903045,-0.07399343,-0.04914958,-0.016386895,0.0173188000000001,0.0709703005000001,-0.43148721,-0.370372825,-0.34341535,-0.3046356,-0.2802758,-0.2608568,-0.245555,-0.2304943,-0.2158352,-0.1999584,-0.1762095,-0.151565,-0.13871575,-0.1237842,-0.1067055,-0.0903045,-0.07399343,-0.04914958,-0.016386895,0.0173188000000001,0.0709703005000001,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.634197590000001,-0.670284745,-0.59586365,-0.56096515,-0.5240626,-0.49552935,-0.4745172,-0.4591265,-0.4445339,-0.43060745,-0.4159424,-0.3893885,-0.3638688,-0.35148285,-0.3355434,-0.319103,-0.300407,-0.28077465,-0.2555529,-0.2191212,-0.19063625,-0.134783215,-0.670284745,-0.59586365,-0.56096515,-0.5240626,-0.49552935,-0.4745172,-0.4591265,-0.4445339,-0.43060745,-0.4159424,-0.3893885,-0.3638688,-0.35148285,-0.3355434,-0.319103,-0.300407,-0.28077465,-0.2555529,-0.2191212,-0.19063625,-0.134783215,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.57720189,-0.615135295,-0.557535325,-0.52146695,-0.4867707,-0.46416925,-0.4432412,-0.4242835,-0.4086295,-0.3939221,-0.380163,-0.353816,-0.3278304,-0.3153186,-0.3002688,-0.28403825,-0.2678576,-0.24742975,-0.2254741,-0.19063805,-0.164512525,-0.0990560745,-0.615135295,-0.557535325,-0.52146695,-0.4867707,-0.46416925,-0.4432412,-0.4242835,-0.4086295,-0.3939221,-0.380163,-0.353816,-0.3278304,-0.3153186,-0.3002688,-0.28403825,-0.2678576,-0.24742975,-0.2254741,-0.19063805,-0.164512525,-0.0990560745,,,,,,,,,,,,,,,,,,,,,
