time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.158058029999999,-0.169057765,-0.1012855,-0.0688244,-0.03358513,-0.010915595,0.00968634000000001,0.026702025,0.04023777,0.05468991,0.0688267,0.0951011,0.1189238,0.13121565,0.1443994,0.16117175,0.179836,0.20110655,0.2254465,0.2628684,0.2970798,0.355823705,-0.169057765,-0.1012855,-0.0688244,-0.03358513,-0.010915595,0.00968634000000001,0.026702025,0.04023777,0.05468991,0.0688267,0.0951011,0.1189238,0.13121565,0.1443994,0.16117175,0.179836,0.20110655,0.2254465,0.2628684,0.2970798,0.355823705,,,,,,,,,,,,,,,,,,,,,
-27,0,-0.24620794,-0.408097055,-0.35084245,-0.3161038,-0.2722602,-0.25086195,-0.2327062,-0.21445725,-0.1990522,-0.18491345,-0.1698602,-0.144268,-0.1176024,-0.10482755,-0.09043709,-0.075167175,-0.05572656,-0.03444803,-0.01268507,0.023351675,0.0577160825000001,0.11539018,-0.408097055,-0.35084245,-0.3161038,-0.2722602,-0.25086195,-0.2327062,-0.21445725,-0.1990522,-0.18491345,-0.1698602,-0.144268,-0.1176024,-0.10482755,-0.09043709,-0.075167175,-0.05572656,-0.03444803,-0.01268507,0.023351675,0.0577160825000001,0.11539018,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.160286730000001,-0.350333205,-0.294185275,-0.2600652,-0.2226225,-0.1989725,-0.1790928,-0.1626045,-0.1495358,-0.13545185,-0.1231618,-0.0968749,-0.07227862,-0.05926637,-0.0438865800000001,-0.0270992,-0.009557234,0.007231803,0.03354721,0.06810591,0.1039147,0.17348897,-0.350333205,-0.294185275,-0.2600652,-0.2226225,-0.1989725,-0.1790928,-0.1626045,-0.1495358,-0.13545185,-0.1231618,-0.0968749,-0.07227862,-0.05926637,-0.0438865800000001,-0.0270992,-0.009557234,0.007231803,0.03354721,0.06810591,0.1039147,0.17348897,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.24699669,-0.417793545,-0.343643175,-0.3168433,-0.2769979,-0.2526489,-0.230886,-0.2154455,-0.1997865,-0.1864255,-0.1730412,-0.1476095,-0.1226116,-0.10876535,-0.0941508,-0.0794555,-0.0618456,-0.04230626,-0.0174403,0.0194146149999999,0.0502738125,0.10615553,-0.417793545,-0.343643175,-0.3168433,-0.2769979,-0.2526489,-0.230886,-0.2154455,-0.1997865,-0.1864255,-0.1730412,-0.1476095,-0.1226116,-0.10876535,-0.0941508,-0.0794555,-0.0618456,-0.04230626,-0.0174403,0.0194146149999999,0.0502738125,0.10615553,,,,,,,,,,,,,,,,,,,,,
-24,0,-0.48941872,-0.572599325,-0.5016321,-0.46617275,-0.4220263,-0.3953111,-0.373476,-0.3545845,-0.3407655,-0.3265348,-0.3133908,-0.286021,-0.2612576,-0.2470593,-0.2326033,-0.21715375,-0.2010512,-0.18061775,-0.156888,-0.12176065,-0.092224965,-0.0316116909999999,-0.572599325,-0.5016321,-0.46617275,-0.4220263,-0.3953111,-0.373476,-0.3545845,-0.3407655,-0.3265348,-0.3133908,-0.286021,-0.2612576,-0.2470593,-0.2326033,-0.21715375,-0.2010512,-0.18061775,-0.156888,-0.12176065,-0.092224965,-0.0316116909999999,,,,,,,,,,,,,,,,,,,,,
-23,0,-0.163742020000001,-0.370552325,-0.30021515,-0.26897665,-0.2292542,-0.2029928,-0.1815778,-0.16289275,-0.1482501,-0.13534535,-0.1203942,-0.09565115,-0.07142418,-0.05848824,-0.0434381,-0.02802855,-0.01140092,0.009712013,0.03345994,0.0719508649999999,0.106927525,0.15937378,-0.370552325,-0.30021515,-0.26897665,-0.2292542,-0.2029928,-0.1815778,-0.16289275,-0.1482501,-0.13534535,-0.1203942,-0.09565115,-0.07142418,-0.05848824,-0.0434381,-0.02802855,-0.01140092,0.009712013,0.03345994,0.0719508649999999,0.106927525,0.15937378,,,,,,,,,,,,,,,,,,,,,
-22,0,0,-0.2669428,-0.201518,-0.168495,-0.1318199,-0.10326775,-0.08377658,-0.06618965,-0.04953393,-0.037052825,-0.0224149,0.003624465,0.0283101,0.03992036,0.05310996,0.06996865,0.08657486,0.10600445,0.1316638,0.1675108,0.19998025,0.254521885,-0.2669428,-0.201518,-0.168495,-0.1318199,-0.10326775,-0.08377658,-0.06618965,-0.04953393,-0.037052825,-0.0224149,0.003624465,0.0283101,0.03992036,0.05310996,0.06996865,0.08657486,0.10600445,0.1316638,0.1675108,0.19998025,0.254521885,,,,,,,,,,,,,,,,,,,,,
-21,0,-0.0785441599999999,-0.32024002,-0.244557275,-0.2144402,-0.1767822,-0.15111885,-0.1305944,-0.112982,-0.09717125,-0.08508916,-0.0718017,-0.0454196,-0.01982558,-0.00627679550000001,0.00778996099999997,0.0229561,0.04008536,0.05564798,0.07949417,0.1179391,0.147936225,0.21403102,-0.32024002,-0.244557275,-0.2144402,-0.1767822,-0.15111885,-0.1305944,-0.112982,-0.09717125,-0.08508916,-0.0718017,-0.0454196,-0.01982558,-0.00627679550000001,0.00778996099999997,0.0229561,0.04008536,0.05564798,0.07949417,0.1179391,0.147936225,0.21403102,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.40923486,-0.52491361,-0.44483785,-0.411362,-0.3726329,-0.35132685,-0.3305978,-0.3130815,-0.2977842,-0.283512,-0.2697684,-0.2422765,-0.2152878,-0.2029543,-0.1888986,-0.17395025,-0.1560882,-0.13542905,-0.1136556,-0.0716075850000001,-0.0409665275,0.0186524865000001,-0.52491361,-0.44483785,-0.411362,-0.3726329,-0.35132685,-0.3305978,-0.3130815,-0.2977842,-0.283512,-0.2697684,-0.2422765,-0.2152878,-0.2029543,-0.1888986,-0.17395025,-0.1560882,-0.13542905,-0.1136556,-0.0716075850000001,-0.0409665275,0.0186524865000001,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.0701242200000003,-0.294254135,-0.236601725,-0.20465945,-0.1691491,-0.1412196,-0.1240626,-0.1074805,-0.09171015,-0.077084865,-0.06513058,-0.0395009,-0.01349794,-0.000557379150000006,0.01437368,0.026862375,0.04509582,0.0644717,0.08838982,0.124043,0.15234225,0.219598485,-0.294254135,-0.236601725,-0.20465945,-0.1691491,-0.1412196,-0.1240626,-0.1074805,-0.09171015,-0.077084865,-0.06513058,-0.0395009,-0.01349794,-0.000557379150000006,0.01437368,0.026862375,0.04509582,0.0644717,0.08838982,0.124043,0.15234225,0.219598485,,,,,,,,,,,,,,,,,,,,,
-18,0,0,-0.2616942,-0.1901749,-0.15631845,-0.122851,-0.10175575,-0.08212066,-0.065254475,-0.05139427,-0.036391915,-0.02496318,-0.0004510535,0.02511106,0.04012241,0.0519299,0.0674522,0.08255304,0.1064209,0.1302058,0.1680216,0.201906875,0.269408155000001,-0.2616942,-0.1901749,-0.15631845,-0.122851,-0.10175575,-0.08212066,-0.065254475,-0.05139427,-0.036391915,-0.02496318,-0.0004510535,0.02511106,0.04012241,0.0519299,0.0674522,0.08255304,0.1064209,0.1302058,0.1680216,0.201906875,0.269408155000001,,,,,,,,,,,,,,,,,,,,,
-17,0,0,-0.24347525,-0.193111425,-0.1648765,-0.1295014,-0.1069069,-0.08707588,-0.07114475,-0.05482342,-0.039568195,-0.02736764,-0.00111503,0.02470546,0.03884199,0.05416898,0.069469525,0.08606418,0.10676315,0.1315811,0.16487325,0.197025275,0.257085025,-0.24347525,-0.193111425,-0.1648765,-0.1295014,-0.1069069,-0.08707588,-0.07114475,-0.05482342,-0.039568195,-0.02736764,-0.00111503,0.02470546,0.03884199,0.05416898,0.069469525,0.08606418,0.10676315,0.1315811,0.16487325,0.197025275,0.257085025,,,,,,,,,,,,,,,,,,,,,
-16,0,0.17474058,-0.156032135,-0.091304685,-0.06073249,-0.0227297,0.002309435,0.02043254,0.0367618,0.05100717,0.06405698,0.07760206,0.1041545,0.1287796,0.13996905,0.1535233,0.16792675,0.1855018,0.2069342,0.2325144,0.26610075,0.300431725,0.373770655,-0.156032135,-0.091304685,-0.06073249,-0.0227297,0.002309435,0.02043254,0.0367618,0.05100717,0.06405698,0.07760206,0.1041545,0.1287796,0.13996905,0.1535233,0.16792675,0.1855018,0.2069342,0.2325144,0.26610075,0.300431725,0.373770655,,,,,,,,,,,,,,,,,,,,,
-15,0,0.236242860000001,-0.123440695,-0.063388035,-0.028028405,0.01021578,0.033499675,0.05303764,0.0703348,0.0853046,0.09842404,0.1113986,0.137904,0.1638388,0.1773751,0.1916076,0.20724825,0.2265664,0.2466443,0.2703214,0.30650095,0.342181375,0.40435029,-0.123440695,-0.063388035,-0.028028405,0.01021578,0.033499675,0.05303764,0.0703348,0.0853046,0.09842404,0.1113986,0.137904,0.1638388,0.1773751,0.1916076,0.20724825,0.2265664,0.2466443,0.2703214,0.30650095,0.342181375,0.40435029,,,,,,,,,,,,,,,,,,,,,
-14,0,0.411227309999999,-0.012175066,0.0423537625,0.07403313,0.1070252,0.13137915,0.1538016,0.1701125,0.1863504,0.1997935,0.2146086,0.240672,0.266143,0.2804557,0.2949324,0.31293025,0.3297452,0.34870485,0.3759737,0.4130863,0.446289275,0.52338575,-0.012175066,0.0423537625,0.07403313,0.1070252,0.13137915,0.1538016,0.1701125,0.1863504,0.1997935,0.2146086,0.240672,0.266143,0.2804557,0.2949324,0.31293025,0.3297452,0.34870485,0.3759737,0.4130863,0.446289275,0.52338575,,,,,,,,,,,,,,,,,,,,,
-13,0,-0.173140929999999,-0.366859555,-0.300123775,-0.2704225,-0.2344936,-0.20862825,-0.1890304,-0.1714765,-0.1576811,-0.14446955,-0.1319988,-0.1058985,-0.07781016,-0.064001385,-0.04925135,-0.034988325,-0.0171605,0.00327096100000003,0.0268497899999999,0.0647202149999999,0.0957409975,0.17304096,-0.366859555,-0.300123775,-0.2704225,-0.2344936,-0.20862825,-0.1890304,-0.1714765,-0.1576811,-0.14446955,-0.1319988,-0.1058985,-0.07781016,-0.064001385,-0.04925135,-0.034988325,-0.0171605,0.00327096100000003,0.0268497899999999,0.0647202149999999,0.0957409975,0.17304096,,,,,,,,,,,,,,,,,,,,,
-12,0,0.173140929999999,-0.16382776,-0.094725715,-0.06328864,-0.02455392,-0.003473636,0.01596408,0.033616325,0.05148128,0.06625276,0.07861046,0.1050265,0.1295874,0.14370115,0.1589689,0.1751785,0.192074,0.2117037,0.2353906,0.27279465,0.3040676,0.369725575,-0.16382776,-0.094725715,-0.06328864,-0.02455392,-0.003473636,0.01596408,0.033616325,0.05148128,0.06625276,0.07861046,0.1050265,0.1295874,0.14370115,0.1589689,0.1751785,0.192074,0.2117037,0.2353906,0.27279465,0.3040676,0.369725575,,,,,,,,,,,,,,,,,,,,,
-11,0,-0.173140929999999,-0.354088395,-0.295052625,-0.26696065,-0.2313802,-0.20869915,-0.1899416,-0.1715915,-0.1564432,-0.1429147,-0.1299516,-0.1041985,-0.07950786,-0.06529952,-0.0512969,-0.034581475,-0.0201499,0.000506156550000021,0.02590389,0.067751605,0.10557865,0.17778275,-0.354088395,-0.295052625,-0.26696065,-0.2313802,-0.20869915,-0.1899416,-0.1715915,-0.1564432,-0.1429147,-0.1299516,-0.1041985,-0.07950786,-0.06529952,-0.0512969,-0.034581475,-0.0201499,0.000506156550000021,0.02590389,0.067751605,0.10557865,0.17778275,,,,,,,,,,,,,,,,,,,,,
