time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,-0.325313189999999,-0.5033134,-0.432238675,-0.395483,-0.356713,-0.32606195,-0.3051326,-0.28733025,-0.2732057,-0.258151,-0.24378,-0.2173885,-0.190665,-0.1779139,-0.1638716,-0.1485295,-0.1300584,-0.11232825,-0.08714,-0.0492140750000001,-0.0158349375,0.0477060655000001,-0.5033134,-0.432238675,-0.395483,-0.356713,-0.32606195,-0.3051326,-0.28733025,-0.2732057,-0.258151,-0.24378,-0.2173885,-0.190665,-0.1779139,-0.1638716,-0.1485295,-0.1300584,-0.11232825,-0.08714,-0.0492140750000001,-0.0158349375,0.0477060655000001,,,,,,,,,,,,,,,,,,,,,
-27,0,-0.417612549999999,-0.55110889,-0.488282775,-0.45738595,-0.4217382,-0.3945982,-0.371917,-0.35305425,-0.3355036,-0.31839485,-0.3042422,-0.277865,-0.2527436,-0.2392939,-0.2250089,-0.20947225,-0.1909586,-0.17205255,-0.1487185,-0.10791155,-0.07622572,-0.00747631734999954,-0.55110889,-0.488282775,-0.45738595,-0.4217382,-0.3945982,-0.371917,-0.35305425,-0.3355036,-0.31839485,-0.3042422,-0.277865,-0.2527436,-0.2392939,-0.2250089,-0.20947225,-0.1909586,-0.17205255,-0.1487185,-0.10791155,-0.07622572,-0.00747631734999954,,,,,,,,,,,,,,,,,,,,,
-26,0,0.38862445,-0.0183463895,0.052674265,0.08612363,0.1261065,0.15256075,0.1725866,0.188734,0.2063765,0.2210847,0.2346886,0.2623195,0.287779,0.3037571,0.3205314,0.3370995,0.3564632,0.37754065,0.4060329,0.44388935,0.475555375,0.545464780000001,-0.0183463895,0.052674265,0.08612363,0.1261065,0.15256075,0.1725866,0.188734,0.2063765,0.2210847,0.2346886,0.2623195,0.287779,0.3037571,0.3205314,0.3370995,0.3564632,0.37754065,0.4060329,0.44388935,0.475555375,0.545464780000001,,,,,,,,,,,,,,,,,,,,,
-25,0,0.65759847,0.157153705,0.229041725,0.2599316,0.2991985,0.32522885,0.3478144,0.367027,0.3844484,0.4014599,0.4156744,0.440514,0.4679672,0.4830446,0.4990628,0.5155525,0.5324632,0.5544016,0.5824248,0.62089355,0.652942025,0.722152325,0.157153705,0.229041725,0.2599316,0.2991985,0.32522885,0.3478144,0.367027,0.3844484,0.4014599,0.4156744,0.440514,0.4679672,0.4830446,0.4990628,0.5155525,0.5324632,0.5544016,0.5824248,0.62089355,0.652942025,0.722152325,,,,,,,,,,,,,,,,,,,,,
-24,0,0.39684458,-0.0247159245,0.0534538925,0.08376124,0.1253875,0.15454785,0.1766472,0.19343425,0.208029,0.22431365,0.2386656,0.2652475,0.2948772,0.30963,0.3245031,0.34071925,0.3590814,0.38036145,0.4051212,0.44452065,0.478633725,0.543959505,-0.0247159245,0.0534538925,0.08376124,0.1253875,0.15454785,0.1766472,0.19343425,0.208029,0.22431365,0.2386656,0.2652475,0.2948772,0.30963,0.3245031,0.34071925,0.3590814,0.38036145,0.4051212,0.44452065,0.478633725,0.543959505,,,,,,,,,,,,,,,,,,,,,
-23,0,0.26075859,-0.09470429,-0.03035888,0.00353861300000002,0.03957012,0.0651063,0.08559626,0.103281,0.1199637,0.13500285,0.14774,0.1755575,0.2029838,0.217079,0.2295315,0.24631725,0.2637016,0.2848816,0.3153894,0.3540949,0.388641475,0.443826105,-0.09470429,-0.03035888,0.00353861300000002,0.03957012,0.0651063,0.08559626,0.103281,0.1199637,0.13500285,0.14774,0.1755575,0.2029838,0.217079,0.2295315,0.24631725,0.2637016,0.2848816,0.3153894,0.3540949,0.388641475,0.443826105,,,,,,,,,,,,,,,,,,,,,
-22,0,0.396770569999999,-0.0107346705,0.057162985,0.09685501,0.1346192,0.1570883,0.1805812,0.19884425,0.2152428,0.22960465,0.244902,0.271764,0.2964808,0.31192195,0.3255771,0.3432275,0.3615242,0.3801216,0.4061751,0.44772585,0.48625875,0.5681624,-0.0107346705,0.057162985,0.09685501,0.1346192,0.1570883,0.1805812,0.19884425,0.2152428,0.22960465,0.244902,0.271764,0.2964808,0.31192195,0.3255771,0.3432275,0.3615242,0.3801216,0.4061751,0.44772585,0.48625875,0.5681624,,,,,,,,,,,,,,,,,,,,,
-21,0,0.39754976,-0.00304976345,0.060275015,0.092608705,0.1288321,0.1570545,0.1760778,0.19486375,0.2098404,0.2256739,0.2404166,0.266916,0.2938884,0.3091682,0.3237203,0.339656,0.3565942,0.3795294,0.4078104,0.44800045,0.4872524,0.5472122,-0.00304976345,0.060275015,0.092608705,0.1288321,0.1570545,0.1760778,0.19486375,0.2098404,0.2256739,0.2404166,0.266916,0.2938884,0.3091682,0.3237203,0.339656,0.3565942,0.3795294,0.4078104,0.44800045,0.4872524,0.5472122,,,,,,,,,,,,,,,,,,,,,
-20,0,0.0280944499999993,-0.25744701,-0.191459825,-0.1549486,-0.1167253,-0.08912836,-0.07051628,-0.0534174,-0.03780023,-0.02244983,-0.00754878199999999,0.01867475,0.04533472,0.058075025,0.07262413,0.08904765,0.1076416,0.1276255,0.1525814,0.1906071,0.222872025,0.290781285,-0.25744701,-0.191459825,-0.1549486,-0.1167253,-0.08912836,-0.07051628,-0.0534174,-0.03780023,-0.02244983,-0.00754878199999999,0.01867475,0.04533472,0.058075025,0.07262413,0.08904765,0.1076416,0.1276255,0.1525814,0.1906071,0.222872025,0.290781285,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.25428702,-0.455229795,-0.383305125,-0.3496073,-0.310384,-0.28251625,-0.2611876,-0.2424135,-0.2266437,-0.2120601,-0.1988368,-0.170953,-0.1433656,-0.12947495,-0.1139114,-0.096326425,-0.07990198,-0.056040115,-0.03101608,0.00741304249999998,0.0428922100000001,0.10777005,-0.455229795,-0.383305125,-0.3496073,-0.310384,-0.28251625,-0.2611876,-0.2424135,-0.2266437,-0.2120601,-0.1988368,-0.170953,-0.1433656,-0.12947495,-0.1139114,-0.096326425,-0.07990198,-0.056040115,-0.03101608,0.00741304249999998,0.0428922100000001,0.10777005,,,,,,,,,,,,,,,,,,,,,
-18,0,0.25428702,-0.10760788,-0.0347261525,-0.007674664,0.0346977,0.061100635,0.08202092,0.09892625,0.1153445,0.1289156,0.1424058,0.1707475,0.1993204,0.212951,0.2270125,0.24055725,0.2590324,0.2804193,0.3051503,0.34512255,0.381421675,0.442634145,-0.10760788,-0.0347261525,-0.007674664,0.0346977,0.061100635,0.08202092,0.09892625,0.1153445,0.1289156,0.1424058,0.1707475,0.1993204,0.212951,0.2270125,0.24055725,0.2590324,0.2804193,0.3051503,0.34512255,0.381421675,0.442634145,,,,,,,,,,,,,,,,,,,,,
-17,0,0.14846189,-0.17208072,-0.10663835,-0.073873495,-0.03537792,-0.0081117445,0.01158736,0.0290715,0.0455535,0.060259805,0.07365552,0.101191,0.1272256,0.13985925,0.1549895,0.17014925,0.1868122,0.209716,0.2351067,0.2741619,0.309632725,0.384387215,-0.17208072,-0.10663835,-0.073873495,-0.03537792,-0.0081117445,0.01158736,0.0290715,0.0455535,0.060259805,0.07365552,0.101191,0.1272256,0.13985925,0.1549895,0.17014925,0.1868122,0.209716,0.2351067,0.2741619,0.309632725,0.384387215,,,,,,,,,,,,,,,,,,,,,
-16,0,-0.40274891,-0.546318175,-0.48123765,-0.44880685,-0.4110404,-0.38797845,-0.3642102,-0.34609525,-0.3288171,-0.3127194,-0.2969814,-0.27074,-0.244188,-0.23015735,-0.2160462,-0.199651,-0.1826598,-0.1605587,-0.1302619,-0.09378598,-0.0570437325,0.00780448885000065,-0.546318175,-0.48123765,-0.44880685,-0.4110404,-0.38797845,-0.3642102,-0.34609525,-0.3288171,-0.3127194,-0.2969814,-0.27074,-0.244188,-0.23015735,-0.2160462,-0.199651,-0.1826598,-0.1605587,-0.1302619,-0.09378598,-0.0570437325,0.00780448885000065,,,,,,,,,,,,,,,,,,,,,
