time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,-0.0137699690000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.298712114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,-0.583165807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,-0.571548093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,-0.557240034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,-0.583685181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,0.0442376619999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,-0.230649034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.348079417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,-0.224126529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,-0.851612642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,-0.185893428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,-0.025884556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,-0.176111922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,-0.035999667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,0.035999667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0.321069476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0.254324726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0.394163486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.390023658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0.267034164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,0.126166934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.264331448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0.529565139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-0.599470384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.240625163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.329471844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.437196492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.552490744,-0.0478237903277406,-0.0387910199703536,-0.034169360965569,-0.0288408841220686,-0.0252457860927595,-0.0223885161459913,-0.0199372329478044,-0.0100446300784991,-0.000152027209193727,0.00229925598899314,0.00515652593576128,0.00875162396507043,0.0140801008085708,0.0187017598133554,0.0277345301707425,-0.0478237903277406,-0.0387910199703536,-0.034169360965569,-0.0288408841220686,-0.0252457860927595,-0.0223885161459913,-0.0199372329478044,-0.0100446300784991,-0.000152027209193727,0.00229925598899314,0.00515652593576128,0.00875162396507043,0.0140801008085708,0.0187017598133554,0.0277345301707425
2,0.513146375,-0.0485478863208849,-0.0394051285757655,-0.034727194012009,-0.0293338350531198,-0.0256949613685863,-0.0228028999187624,-0.0203217687088478,-0.0103087087146053,-0.000295648720362751,0.00218548248955181,0.00507754393937573,0.00871641762390921,0.0141097765827984,0.0187877111465549,0.0279304688916743,-0.0485478863208849,-0.0394051285757655,-0.034727194012009,-0.0293338350531198,-0.0256949613685863,-0.0228028999187624,-0.0203217687088478,-0.0103087087146053,-0.000295648720362751,0.00218548248955181,0.00507754393937573,0.00871641762390921,0.0141097765827984,0.0187877111465549,0.0279304688916743
3,0.717349685,-0.0493392086506537,-0.0400893758459473,-0.0353566558294727,-0.029900132752273,-0.0262186425369877,-0.0232927108194938,-0.0207825219357842,-0.010652194370266,-0.000521866804747757,0.00198832207896185,0.00491425379645578,0.00859574401174105,0.0140522670889408,0.0187849871054153,0.0280348199101218,-0.0493392086506537,-0.0400893758459473,-0.0353566558294727,-0.029900132752273,-0.0262186425369877,-0.0232927108194938,-0.0207825219357842,-0.010652194370266,-0.000521866804747757,0.00198832207896185,0.00491425379645578,0.00859574401174105,0.0140522670889408,0.0187849871054153,0.0280348199101218
4,-0.127042006,-0.0502294720921799,-0.0408753126660461,-0.0360892134480331,-0.0305711475700711,-0.0268481347192866,-0.0238892021273922,-0.0213507014319006,-0.0111061163580387,-0.000861531284176697,0.0016769694113149,0.00463590200320926,0.00835891485399372,0.0138769807319557,0.0186630799499688,0.0280172393761025,-0.0502294720921799,-0.0408753126660461,-0.0360892134480331,-0.0305711475700711,-0.0268481347192866,-0.0238892021273922,-0.0213507014319006,-0.0111061163580387,-0.000861531284176697,0.0016769694113149,0.00463590200320926,0.00835891485399372,0.0138769807319557,0.0186630799499688,0.0280172393761025
5,0.0368332050000002,-0.0510912940399324,-0.0416354031823448,-0.0367972526038248,-0.0312191748407699,-0.0274556722560203,-0.0244645597071212,-0.0218984514738771,-0.0115424511186695,-0.00118645076346183,0.00137965746978217,0.00437077001868133,0.00813427260343091,0.0137123503664858,0.0185505009450058,0.0280063918025934,-0.0510912940399324,-0.0416354031823448,-0.0367972526038248,-0.0312191748407699,-0.0274556722560203,-0.0244645597071212,-0.0218984514738771,-0.0115424511186695,-0.00118645076346183,0.00137965746978217,0.00437077001868133,0.00813427260343091,0.0137123503664858,0.0185505009450058,0.0280063918025934
6,-0.472641976,-0.0519502010317922,-0.0423950302786198,-0.0375060826793333,-0.0318694392045733,-0.0280664226121776,-0.0250439055826209,-0.0224508551012807,-0.0119861243631376,-0.00152139362499447,0.00107165685634575,0.00409417388590246,0.00789719047829811,0.0135338339530581,0.0184227815523446,0.0279779523055171,-0.0519502010317922,-0.0423950302786198,-0.0375060826793333,-0.0318694392045733,-0.0280664226121776,-0.0250439055826209,-0.0224508551012807,-0.0119861243631376,-0.00152139362499447,0.00107165685634575,0.00409417388590246,0.00789719047829811,0.0135338339530581,0.0184227815523446,0.0279779523055171
