time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,-0.294098440000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,0.292427370000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,-0.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.586505249999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,-0.00173004000000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,-0.29236701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.00525117000000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,-0.294033310000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,-0.00708613999999841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,-0.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,-0.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0.00181547000000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0.00544559000000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-0.29402691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.30310012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0.29391858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.32223716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.29359174,-0.276525330390288,-0.214911343290507,-0.183386259951318,-0.147039857850171,-0.122517112907458,-0.103027212613824,-0.0863066135755151,-0.0188275698872006,0.0486514738011139,0.0653720728394232,0.0848619731330568,0.10938471807577,0.145731120176917,0.177256203516106,0.238870190615887,-0.276525330390288,-0.214911343290507,-0.183386259951318,-0.147039857850171,-0.122517112907458,-0.103027212613824,-0.0863066135755151,-0.0188275698872006,0.0486514738011139,0.0653720728394232,0.0848619731330568,0.10938471807577,0.145731120176917,0.177256203516106,0.238870190615887
2,-0.29359174,-0.281359421788244,-0.224932959457552,-0.196062097316624,-0.162775842270424,-0.140317764017603,-0.12246879535783,-0.10715596955005,-0.0453582528948433,0.0164394637603632,0.0317522895681435,0.0496012582279167,0.0720593364807374,0.105345591526937,0.134216453667865,0.190642915998557,-0.281359421788244,-0.224932959457552,-0.196062097316624,-0.162775842270424,-0.140317764017603,-0.12246879535783,-0.10715596955005,-0.0453582528948433,0.0164394637603632,0.0317522895681435,0.0496012582279167,0.0720593364807374,0.105345591526937,0.134216453667865,0.190642915998557
3,-0.309695010000002,-0.274172499382481,-0.220890944177346,-0.193629188408103,-0.162198129955027,-0.140991744036021,-0.124137580763709,-0.109678209399219,-0.0513247646587236,0.00702868008177203,0.0214880514462618,0.0383422147185736,0.0595486006375797,0.0909796590906562,0.118241414859899,0.171522970065034,-0.274172499382481,-0.220890944177346,-0.193629188408103,-0.162198129955027,-0.140991744036021,-0.124137580763709,-0.109678209399219,-0.0513247646587236,0.00702868008177203,0.0214880514462618,0.0383422147185736,0.0595486006375797,0.0909796590906562,0.118241414859899,0.171522970065034
4,-0.012542149999998,-0.250969773600942,-0.199544858931122,-0.173233061935233,-0.142897245108779,-0.122429813515584,-0.106162947716098,-0.0922074252893342,-0.0358873553342288,0.0204327146208767,0.0343882370476406,0.0506551028471267,0.0711225344403218,0.101458351266776,0.127770148262665,0.179195062932485,-0.250969773600942,-0.199544858931122,-0.173233061935233,-0.142897245108779,-0.122429813515584,-0.106162947716098,-0.0922074252893342,-0.0358873553342288,0.0204327146208767,0.0343882370476406,0.0506551028471267,0.0711225344403218,0.101458351266776,0.127770148262665,0.179195062932485
5,0,-0.232964874409289,-0.182616230494754,-0.15685511244131,-0.127154193167873,-0.107115123939516,-0.09118870696824,-0.0775252593219418,-0.0223839107048782,0.0327574379121855,0.0464208855584836,0.0623473025297599,0.082386371758117,0.112087291031553,0.137848409084998,0.188197052999533,-0.232964874409289,-0.182616230494754,-0.15685511244131,-0.127154193167873,-0.107115123939516,-0.09118870696824,-0.0775252593219418,-0.0223839107048782,0.0327574379121855,0.0464208855584836,0.0623473025297599,0.082386371758117,0.112087291031553,0.137848409084998,0.188197052999533
