time,Y,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_50%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_50%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,-0.134946710000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26,0.134946710000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,-0.134946710000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,-0.26175458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22,-0.133275489999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21,0.133275489999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-0.52742834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0.13153039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18,0.13506113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0.127561330000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,-0.5243319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,0.27725581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0.143771129999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-0.656688379999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,-0.289495280000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0.65309873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-0.0807065599999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,-0.0720242500000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0.41052382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0.52932811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.23134273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0.23134273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0558135399999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.41150032,-0.228936566394436,-0.1931575480583,-0.17485104675991,-0.153744823182405,-0.139504554336683,-0.128186840083812,-0.118477249003234,-0.0792924136261749,-0.0401075782491157,-0.0303979871685381,-0.0190802729156673,-0.00484000406994529,0.0162662195075605,0.0345727208059497,0.0703517391420862,-0.228936566394436,-0.1931575480583,-0.17485104675991,-0.153744823182405,-0.139504554336683,-0.128186840083812,-0.118477249003234,-0.0792924136261749,-0.0401075782491157,-0.0303979871685381,-0.0190802729156673,-0.00484000406994529,0.0162662195075605,0.0345727208059497,0.0703517391420862
2,0.306183880000001,-0.226039330188282,-0.191036695546051,-0.173127434579048,-0.152479203662815,-0.138547940291329,-0.127475813793708,-0.117976915139586,-0.0796423676868438,-0.0413078202341012,-0.0318089215799796,-0.0207367950823585,-0.00680553171087232,0.0138426992053605,0.0317519601723633,0.0667545948145941,-0.226039330188282,-0.191036695546051,-0.173127434579048,-0.152479203662815,-0.138547940291329,-0.127475813793708,-0.117976915139586,-0.0796423676868438,-0.0413078202341012,-0.0318089215799796,-0.0207367950823585,-0.00680553171087232,0.0138426992053605,0.0317519601723633,0.0667545948145941
3,0,-0.22635999829432,-0.192026437989709,-0.174459512022378,-0.154205971436302,-0.140541003756776,-0.12968052063338,-0.12036319314926,-0.0827614094500763,-0.0451596257508929,-0.0358422982667727,-0.0249818151433764,-0.0113168474638505,0.00893669312222556,0.0265036190895566,0.0608371793941677,-0.22635999829432,-0.192026437989709,-0.174459512022378,-0.154205971436302,-0.140541003756776,-0.12968052063338,-0.12036319314926,-0.0827614094500763,-0.0451596257508929,-0.0358422982667727,-0.0249818151433764,-0.0113168474638505,0.00893669312222556,0.0265036190895566,0.0608371793941677
4,0.0774289899999996,-0.227667512493846,-0.193909094929306,-0.176636443422469,-0.156722182442862,-0.143286125103087,-0.132607572661119,-0.12344632550225,-0.0864744325780528,-0.0495025396538558,-0.0403412924949863,-0.0296627400530186,-0.0162266827132436,0.00368757826636369,0.0209602297732007,0.0547186473377405,-0.227667512493846,-0.193909094929306,-0.176636443422469,-0.156722182442862,-0.143286125103087,-0.132607572661119,-0.12344632550225,-0.0864744325780528,-0.0495025396538558,-0.0403412924949863,-0.0296627400530186,-0.0162266827132436,0.00368757826636369,0.0209602297732007,0.0547186473377405
5,0.245373260000001,-0.230493812820941,-0.197228661247949,-0.180208391582053,-0.160585110701535,-0.147345376253185,-0.136822855021759,-0.127795468748253,-0.0913637959747125,-0.0549321232011723,-0.0459047369276655,-0.03538221569624,-0.0221424812478898,-0.00251920036737234,0.0145010692985241,0.0477662208715162,-0.230493812820941,-0.197228661247949,-0.180208391582053,-0.160585110701535,-0.147345376253185,-0.136822855021759,-0.127795468748253,-0.0913637959747125,-0.0549321232011723,-0.0459047369276655,-0.03538221569624,-0.0221424812478898,-0.00251920036737234,0.0145010692985241,0.0477662208715162
6,-0.565625930000001,-0.236034227669088,-0.203191249504667,-0.186386986828664,-0.167012748173566,-0.153941041332376,-0.143552063116538,-0.13463924485951,-0.0986699323262643,-0.062700619793019,-0.0537878015359905,-0.0433988233201523,-0.0303271164789622,-0.0109528778238646,0.00585138485213806,0.0386943630165596,-0.236034227669088,-0.203191249504667,-0.186386986828664,-0.167012748173566,-0.153941041332376,-0.143552063116538,-0.13463924485951,-0.0986699323262643,-0.062700619793019,-0.0537878015359905,-0.0433988233201523,-0.0303271164789622,-0.0109528778238646,0.00585138485213806,0.0386943630165596
7,0.0957479600000006,-0.238480549699185,-0.205998234241258,-0.189378506318073,-0.170217024414652,-0.157288863543752,-0.147013971114601,-0.138199028304159,-0.102624710084281,-0.0670503918644029,-0.058235449053961,-0.0479605566248099,-0.0350323957539105,-0.0158709138504887,0.000748814072696169,0.0332311295306231,-0.238480549699185,-0.205998234241258,-0.189378506318073,-0.170217024414652,-0.157288863543752,-0.147013971114601,-0.138199028304159,-0.102624710084281,-0.0670503918644029,-0.058235449053961,-0.0479605566248099,-0.0350323957539105,-0.0158709138504887,0.000748814072696169,0.0332311295306231
