cell,chloroplast,start_time,end_time,move_time
1,1,9,17,8
1,2,Inf,Inf,Inf
1,3,Inf,Inf,Inf
1,4,24,63,39
1,5,31,82,51
1,6,33,75,42
1,7,44,81,37
1,8,10,19,9
1,9,20,62,42
1,10,7,35,28
1,11,12,32,20
