time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11
9,1,0.060191334,11.87784322,5.91806541,12.70822732,2.376433061,21.84860799,20.26845483,14.48293548,4.416359173,20.43224937,20.4135348
10,1,0.060191334,11.65859089,5.91806541,12.6519601,2.264170021,21.58146712,20.45774707,13.96317685,4.117647059,20.13974782,20.29582758
11,1,0.060191334,11.0260385,5.36112644,12.31051643,2.162232742,21.7064654,20.64901504,13.84649335,3.823529412,19.84728442,20.45264957
12,1,0.236615828,9.97980186,4.74590678,12.26297717,1.885117595,21.44116011,20.81877217,13.96317685,3.235294118,19.88033645,20.56625154
13,1,0.060191334,8.75137615,4.16024206,11.92901933,1.609472075,20.9124157,20.84221487,14.08368023,2.058823529,19.58830566,20.29582758
14,1,0.302281287,8.36860962,3.843115517,11.63780662,1.510571653,21.04394742,21.06386885,14.08368023,1.771096725,19.55486055,20.29582758
15,1,0.060191334,8.18290284,3.256275793,11.59876595,1.609472075,20.64901504,21.06386885,13.67820742,1.183469424,19.84728442,19.79675166
16,1,0.060191334,7.82366433,2.962933159,11.27244258,1.510571653,20.12425867,20.64901504,13.81663477,0.889701293,19.52489731,19.57950872
17,1,0.060191334,7.07316221,2.405693125,10.95029043,1.232241206,19.59709944,20.45774707,13.55040827,0.59596988,19.52489731,19.68661714
18,1,0.302281287,6.66501883,2.083290929,10.63256737,1.232241206,19.20357719,20.04321524,13.41467746,0.008643049,19.79151825,19.68661714
19,1,0.144957554,6.34928317,1.790233165,10.01152959,1.232241206,18.81081723,20.04321524,13.28740183,-0.284935429,20.06220634,19.68661714
20,1,0.144957554,6.19966633,1.822007944,9.71764236,1.232241206,18.15324306,19.819417,13.05891933,-0.578442242,19.47546614,19.30522464
21,1,0,5.79856456,1.530471562,9.14519371,0.860252602,17.76136166,19.37630309,12.65686002,-0.882352941,19.16244047,19.47546614
22,1,0,5.79856456,1.239177481,8.53260832,0.860252602,17.76136166,18.52389641,12.25545899,-1.470588235,18.86887478,18.99899075
23,1,0,5.65745349,1.239177481,8.23856169,0.860252602,17.76136166,18.30777971,12.40272023,-1.470588235,17.95813853,18.8217138
24,1,0,5.65745349,1.287517155,7.94451829,0.494571086,17.49567432,17.8807651,11.89833226,-1.470588235,17.38387952,18.90327973
25,1,0,5.65745349,1.287517155,7.94451829,0.494571086,17.36067977,17.04509377,11.74663629,-1.764705882,17.10778879,18.62480662
26,1,0,5.65745349,1.576670522,7.65047833,0.494571086,16.83613082,16.00626039,11.59876595,-1.751364407,16.50279615,18.44470045
27,1,0,5.52267284,1.576670522,7.35644208,0.211777984,16.83613082,15.79725827,11.45482439,-2.044154229,16.19484497,17.79174561
28,1,0.144957554,5.52267284,1.635596572,7.35294118,0.136543881,16.44034937,15.3813131,11.34405175,-2.044154229,14.13799822,16.48669823
