time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14
-6,0,10.19481336,7.701660519,11.48108909,1.576670522,6.040190811,19.75135871,8.873501665,18.71252279,18.42070477,11.49420576,16.83613082,12.54874575,6.440382552,3.076194246
-5,0,9.837645007,8.336216528,11.72337527,1.84100197,5.886326778,19.75135871,8.851660987,18.8598126,18.66139454,11.49420576,16.83613082,12.62007741,6.646464631,3.318903308
-4,0,9.552137502,7.901007176,11.48108909,2.370567109,6.676137201,19.55486055,9.414765594,18.56798309,17.51489319,12.68867642,17.10778879,12.69601054,6.26128807,3.655258217
-3,0,9.837645007,7.701660519,11.12290597,1.771096725,6.421463435,18.27063582,9.129896646,17.9109907,16.7010197,12.05882353,15.95678533,12.12967033,6.45549535,4.430129142
-2,0,9.552137502,8.336216528,11.00173001,1.530471562,6.353093568,18.16818305,9.423764512,17.65469695,16.45446615,12.88564211,15.3706995,12.41265896,6.238219514,4.74590678
-1,0,10.55490332,7.921107433,11.00173001,1.859943406,5.941808963,18.53124993,9.423764512,17.51105073,16.45446615,13.30631332,15.34733007,12.69601054,6.26128807,4.74590678
0,0,10.47363194,7.856665529,10.65020915,2.297139898,6.127577956,19.10467868,9.565506488,17.39720827,16.56266495,13.21215325,16.24987279,12.9797079,6.299631007,5.038851862
1,1,10.47363194,8.313510351,10.58545727,1.744649154,6.07872809,19.02767252,9.809934178,17.38243024,16.88995713,13.85624455,16.56907308,12.69601054,6.180339887,5.361126443
2,1,10.6021907,8.218142118,10.927172,2.257795529,6.197490983,19.55426849,9.291969095,17.43574018,17.08103566,14.05067404,16.56907308,12.62007741,6.118269513,5.689871674
3,1,10.96727779,8.086199078,11.08104175,2.975145214,6.423208668,20.03782049,9.413847055,17.13155417,17.47884434,14.45048475,16.89152243,13.19017188,6.353093568,5.981267472
4,1,11.15266103,7.559143435,10.68208124,2.848103208,6.858551763,20.13437378,9.913664135,16.77901711,17.40606454,14.48791634,16.89152243,13.6944101,6.421463435,6.272804645
5,1,11.30766555,7.786115746,10.68208124,2.884936413,6.92238734,20.25054862,10.2866265,16.77444514,17.39222533,14.73909575,16.6331477,13.91979063,6.257446594,6.605540975
6,1,11.57124907,7.915401769,10.76208763,2.412294437,7.431239176,20.19831874,10.20912723,16.7652027,17.46178972,14.87394483,16.6331477,13.86255146,6.349283166,6.272804645
7,1,11.32549773,8.92581301,10.59472611,1.781876476,7.621992564,19.54473002,10.73661316,16.56355778,17.1957883,14.74370797,16.59913173,13.86255146,6.575687444,5.398629135
8,1,11.26096353,9.02507572,10.8936419,1.655355169,7.548786763,19.32762944,10.17423256,16.70657933,17.18684961,14.18798549,16.6331477,13.57370989,6.713122207,5.398629135
9,1,11.3091929,9.170684009,10.93414184,1.401373724,7.538335296,18.97877842,10.03814035,16.79046546,17.03037381,14.16715284,16.67110238,13.80973759,6.709428963,5.038851862
10,1,11.03190962,8.175412832,11.03548185,1.053208263,7.576522788,18.83623481,10.40044737,16.79747136,17.0981373,14.20936796,16.67110238,14.05192322,6.575687444,4.430129142
11,1,10.76589901,8.061389447,11.01271061,0.916861199,7.426694704,17.8645511,10.36823638,17.01843536,17.18652816,13.8108873,16.71297509,14.00873957,6.055850664,4.122389658
12,1,10.20690633,7.750544086,10.96701774,1.082619526,7.386036821,18.63814541,10.3817537,17.03879439,17.18652816,13.59543534,17.00385308,14.26189921,6.199666332,3.529411765
13,1,9.648898092,7.823400866,10.84715265,0.683999716,7.467142899,18.26414586,10.31982788,16.51701825,17.3237307,13.79438895,17.29481607,14.49181356,6.199666332,3.534481252
14,1,9.076968902,7.517042977,11.00999063,0.56198081,7.038813304,17.99366314,10.19603099,15.94026766,17.33350505,13.65946861,17.58586078,15.39828339,6.199666332,3.235294118
15,1,8.889130256,7.662360026,10.85305031,0.490466557,7.364315492,17.75715747,9.686778114,15.53941434,17.07883754,13.67878633,17.92042802,15.39828339,6.098801332,3.240544545
16,1,8.194167403,7.188779261,10.6378674,0.93710386,6.842573191,17.62369838,9.516929557,15.22266787,17.19594982,13.5314933,17.92042802,15.43006469,5.693917037,2.946621227
17,1,7.241266925,7.013004776,10.37771241,0.93710386,7.360865417,17.32057986,9.223970879,14.94972873,17.06941097,13.65270785,18.59732845,15.75770587,5.444282885,2.946621227
18,1,7.081240921,6.492158369,10.2689011,1.09432694,6.898932409,17.32057986,8.984243757,15.3446574,16.89642333,12.67821215,18.59732845,15.75770587,5.289915109,2.652712842
19,1,6.699236134,6.109372461,10.30945184,1.155650406,6.22377759,17.31178444,8.971092527,14.88774268,16.65129612,12.33111761,18.65042411,15.72225289,5.289915109,2.647058824
20,1,6.379064649,6.272366379,10.24136768,1.138524113,5.944527389,17.31178444,8.79899819,14.77395593,16.32910249,12.40520489,19.3425667,16.01449492,5.289915109,2.647058824
21,1,6.342435622,5.909230632,10.06524418,1.107739276,5.747284915,17.34132825,8.809463363,14.58357739,15.84638138,12.2965604,18.99538595,15.46602383,5.038851862,2.647058824
22,1,6.272304986,6.131414169,9.772563204,1.185217896,5.634115377,17.33550382,8.696310019,14.42715472,15.53229117,12.29732335,19.3425667,15.17441252,5.038851862,2.652712842
23,1,6.048684252,6.216236875,9.604586096,1.0612423,5.285748232,17.14654106,8.365561181,14.90535758,15.00288018,12.09442504,19.57246891,14.59141469,4.886903714,2.358821178
24,1,5.873743725,5.826601582,9.326648075,1.457646001,5.36589588,16.92466217,8.273460584,14.81785304,14.23117173,11.82700699,19.22858274,14.00873957,4.886903714,2.358821178
25,1,5.88397356,5.933598649,9.264583923,1.310567351,5.36860817,16.52675526,7.531761648,14.51105376,14.04714552,11.13758636,19.22858274,13.42641777,4.634317267,2.376433061
26,1,5.77766328,5.789067135,9.240679854,1.437293276,5.25105606,16.19282842,7.423642212,14.02874553,13.91780797,10.57853688,19.51784182,12.8444839,4.790186457,2.669649888
27,1,5.623596545,5.96474682,9.28364419,1.066690909,5.366739172,15.86922076,7.223381425,13.5245696,13.60395835,10.01002773,18.83804932,11.9723977,4.544106317,2.376433061
28,1,5.594037989,5.726587033,9.107563461,1.217056973,4.628815147,15.61926606,6.974648426,12.27517915,13.2592674,9.424318596,18.50182206,11.68194225,4.544106317,2.669649888
29,1,5.497981352,5.87858352,8.912159207,1.15399818,4.634505323,15.5870121,7.023509188,12.0557677,13.00068696,9.334329115,18.16818305,11.3916174,4.300816648,2.376433061
30,1,5.440255875,5.878552154,8.589170384,1.155650406,4.464858415,15.18688826,7.023509188,11.48724181,12.80100715,9.2649845,17.8769841,10.8113883,4.471318934,2.376433061
31,1,5.459609983,5.846522891,8.37647181,1.076913158,4.251535405,14.96590953,6.862952924,10.76292211,12.23281926,8.835945266,16.89152243,10.23177338,4.235481452,2.064948323
32,1,5.490235936,5.81462185,8.224815388,0.798712555,4.070736905,14.75502165,6.423673963,10.39327522,11.88694285,8.578382531,16.56907308,9.652845538,4.235481452,2.358821178
33,1,5.548765851,5.783040032,8.28521269,0.533914695,3.858464068,13.91684107,6.054003087,9.978767813,11.26231441,8.500371291,16.83613082,9.363665232,4.003075215,2.064948323
34,1,5.511724748,5.703061559,8.426059133,0.456954691,3.629894374,13.66066698,5.487094099,9.584836799,10.83955532,8.058886092,16.22747127,8.785931347,4.18852903,2.376433061
35,1,5.500839388,5.657631609,8.443621865,0.456954691,3.529477124,13.37117726,5.238635264,8.658931758,10.71827496,8.168691536,15.93407018,8.497404595,4.416359173,2.376433061
36,1,5.490235936,5.560121537,8.359381635,0.469171931,3.298720505,12.66043339,5.199141697,8.397605687,10.44141145,8.092411026,15.01945421,8.209124455,4.602839834,2.405693125
37,1,5.479787305,5.437620679,8.395581338,0.339737181,3.177316926,12.56842995,5.0528448,8.439599599,10.18953148,7.798105457,14.11764706,7.984552973,4.379540423,2.44646406
38,1,5.346663279,5.36860817,8.395581338,0.353021977,2.994336712,12.48864656,4.847974068,8.144844165,10.18656692,7.501625424,14.42067532,7.698254791,4.379540423,2.498558108
39,1,5.309819026,5.192833194,8.106721175,0.333787468,3.012451264,12.25123206,4.809164775,8.099703796,10.14743543,7.064241172,14.11990937,7.412322262,4.379540423,2.848037685
40,1,5.214091367,5.374876032,7.983769406,0.333787468,2.936064684,11.87038102,4.802464598,7.866834522,10.00072086,6.718419159,13.53174588,7.058823529,4.16024206,2.848037685
41,1,5.214091367,5.406274633,8.140467123,0.030185699,2.280815539,11.70952189,4.65001748,7.861125705,9.892500545,6.44605219,13.53174588,7.058823529,4.16024206,2.91936001
42,1,5.181929758,5.305719886,8.108763736,0.017485766,2.431928687,11.67846728,4.601366365,7.637399793,9.784352083,6.56107181,13.23766588,7.058823529,4.18852903,2.91936001
43,1,5.27795697,5.236755212,8.054791302,0.124740596,2.5,11.75561903,4.339103711,7.70200369,9.764854959,6.171859645,12.65686002,7.058823529,4.003075215,2.91936001
44,1,5.199946948,4.992085008,8.130331802,0.043332035,2.564096227,11.68534334,4.381803312,7.787489456,9.705882353,5.95859619,12.66910388,7.058823529,3.774372877,3.282428141
45,1,5.075905211,4.785046046,8.175400065,-0.145144958,2.368088973,11.77099928,4.381803312,7.870569043,9.2649845,5.795932244,12.41514276,7.126781252,3.774372877,3.282428141
46,1,5.190439618,4.760797313,7.975415565,-0.177790909,2.306682596,11.46444447,4.116241723,7.894057864,9.43276348,5.861549185,12.41514276,6.841660082,3.774372877,3.370734983
47,1,5.344163596,4.562026111,7.795999787,-0.177790909,2.364460911,10.87392417,3.964997723,7.719195021,9.43276348,5.748895047,12.14985851,6.556989826,3.744746322,3.370734983
48,1,5.432062671,4.447120582,7.790736538,-0.241118502,2.155071628,10.10706281,3.964997723,7.479276555,9.441769153,5.468091978,12.14985851,6.556989826,3.734848473,3.650259512
49,1,5.411792863,4.8792615,7.895044037,-0.40986297,2.000326105,10.0231767,3.658824973,7.353378067,9.561794112,5.260145157,11.59876595,6.556989826,3.529411765,3.744746322
