time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17,chloroplast18
46,1,1.929440009,5.359769176,3.384714724,0.962192656,2.541470634,2.211882256,4.260036171,8.088601743,6.750119226,5.127337566,7.971221807,8.413828531,4.525961612,5.20973821,6.176470588,9.142135624,11.53610917,16.90139905
47,1,2.004424269,5.267641957,3.384714724,0.962192656,2.521726828,2.056916955,4.302884817,8.13771802,6.750119226,5.087206259,7.971221807,8.001197709,4.816658393,5.20973821,6.180339887,9.142135624,11.56485628,16.6291486
48,1,2.035904121,5.164094821,3.268179556,0.916861199,2.489005142,1.993959195,4.185778547,8.138176,6.711711115,4.846370847,7.971221807,8.001197709,4.816658393,5.20973821,5.886326778,9.423764512,11.59876595,16.6291486
49,1,1.930512746,4.911834041,3.268179556,0.954068555,2.380963597,1.882767012,4.231390979,8.285860196,6.592145421,4.606328913,8.133596213,8.060943124,5.154515589,5.431851677,5.588235294,9.142135624,11.59876595,16.7428348
50,1,1.944248604,4.770692216,3.268179556,0.844597793,2.400106897,1.85497179,4.214029889,8.336478868,6.675029134,4.570760773,8.133596213,8.235294118,5.497981352,5.243573393,5.588235294,8.776515798,11.30696032,16.7428348
51,1,1.838630602,4.589019677,3.258187135,0.75436414,2.118071748,1.683501668,4.214029889,8.389623106,6.627396423,4.293647089,7.971221807,8.001197709,5.559601806,5.017286098,5.592319474,8.494199702,11.01523928,16.47260265
52,1,1.782365855,4.475244462,3.258187135,0.709207476,2.085524799,1.652690801,3.985041394,8.50602127,6.532453414,4.190613056,7.72547509,8.235294118,5.559601806,5.017286098,5.588235294,8.212398497,10.98009142,16.20300625
53,1,1.722414155,4.452104625,3.258187135,0.619362912,1.992078922,1.656485884,4.16342818,8.40826802,6.532453414,4.050056768,7.890945295,8.235294118,5.846522891,5.017286098,5.588235294,8.494199702,10.657449,16.0864098
54,1,1.652075475,4.322711868,3.258187135,0.619362912,1.945262313,1.648704176,3.899758409,8.152804305,6.390379025,4.018741967,7.890945295,8.710425907,5.914103127,4.602839834,5.298318471,8.861025492,10.36465634,15.81596739
55,1,1.571016265,4.382698173,3.258187135,0.529793307,1.945262313,1.724901364,3.967472405,8.117943811,5.916047907,4.124029498,8.060943124,8.951224971,6.272804645,4.794603415,5.298318471,8.861025492,10.39559097,15.70136983
56,1,1.627851609,4.338843324,3.152397322,0.529793307,1.822234778,1.773305844,3.939235901,8.023646906,5.905189782,4.124029498,8.235294118,8.951224971,6.272804645,5.017286098,5.592319474,8.776515798,10.36465634,15.70136983
57,1,1.592784177,4.053865569,3.046420135,0.505234133,1.747099851,1.828534479,3.993504427,7.839496566,5.71971024,4.124029498,8.235294118,8.951224971,5.989142172,4.829867628,5.298318471,8.776515798,10.04606537,15.20868634
58,1,1.550001486,4.186786665,2.989107951,0.416436427,1.59214622,1.794027813,3.812664335,7.835463955,5.565706334,3.964559208,8.235294118,8.710425907,5.989142172,4.602839834,5.588235294,8.494199702,9.73232916,14.93501553
59,1,1.458984415,4.076971785,2.931639153,0.197234426,1.45456498,1.761244498,3.830163628,7.831618095,5.449821976,3.932406152,8.471744107,8.882851437,6.272804645,4.602839834,5.294117647,8.494199702,9.129896646,14.38947026
60,1,1.373774392,4.208122158,2.931639153,0.197234426,1.45456498,1.701984019,3.784372813,7.681314378,5.334788937,3.699087616,8.471744107,8.471744107,6.353093568,4.602839834,5.294117647,8.494199702,8.826657969,14.00646403
61,1,1.323208781,4.295043183,2.931639153,-0.001092005,1.381118673,1.733462235,3.732108639,7.665659676,5.257851618,3.689216849,8.710425907,8.300493005,6.353093568,4.379540423,5.298318471,9.059315768,8.823529412,13.62487082
62,1,1.384792161,4.383596534,2.844784142,-0.001092005,1.30844835,1.815410288,3.59439635,7.665659676,5.257851618,3.451520046,8.710425907,8.471744107,6.353093568,4.379540423,5.298318471,9.059315768,8.532608318,13.07806984
63,1,1.297505445,4.383596534,2.844784142,0.002162162,1.172721397,1.961055644,3.669392816,7.665659676,5.134219405,3.405174758,8.710425907,8.235294118,6.353093568,4.379540423,5.298318471,9.059315768,8.529411765,12.80565984
64,1,1.368364482,4.175088405,2.844784142,-0.042560997,1.057115536,1.961571346,3.59439635,7.665659676,5.134219405,3.376911433,8.710425907,8.471744107,6.353093568,4.16024206,5.310910672,9.059315768,8.532608318,12.26297717
65,1,1.322032997,4.385901454,2.758156652,-0.042560997,1.381910923,1.961571346,3.584158873,7.665659676,5.096849349,3.349008902,8.710425907,8.647185598,6.635317909,4.16024206,5.310910672,9.626255011,8.248359564,12.11198613
66,1,1.286334695,4.385901454,2.748433138,-0.086933168,1.533457206,1.914548182,3.485525479,7.903326259,4.932148219,3.349008902,8.542193451,8.647185598,6.635317909,3.945239015,5.310910672,9.626255011,7.994542373,11.57790667
67,1,1.233325508,4.389223416,2.738949533,-0.13148666,1.708215397,2.216540072,3.502853627,7.956861781,4.661953969,3.226297023,8.542193451,8.647185598,6.353093568,3.744746322,5.310910672,9.266979807,7.478354962,11.57790667
68,1,1.233325508,4.460736056,2.738949533,-0.220059857,1.795936719,2.216540072,3.502853627,7.959355177,4.661953969,3.282490228,8.542193451,8.413828531,6.353093568,3.744746322,5.298318471,9.552137502,7.523334621,11.18716224
69,1,1.090304067,4.418011613,2.738949533,-0.329871318,1.952108652,2.072596857,3.675398184,7.805471261,4.565783792,3.381644851,8.378312254,8.413828531,6.071488367,3.964559208,5.310910672,9.837645007,7.233314319,10.92043365
70,1,0.993549192,4.442394502,2.738949533,-0.329871318,2.061756609,1.965192613,3.675398184,7.86426641,4.565783792,3.465678612,8.542193451,8.647185598,6.353093568,3.774372877,5.331863571,9.837645007,7.286234455,10.38997112
71,1,0.883501726,4.442394502,2.738949533,-0.373895175,1.980222791,1.773408015,3.85858125,8.062690796,4.594309196,3.701360113,8.710425907,8.647185598,6.353093568,3.774372877,5.068966334,9.837645007,6.997692973,10.38997112
72,1,0.847437739,4.193850331,2.738949533,-0.373895175,1.944110104,1.871225154,3.85858125,8.12133913,4.672057321,3.980408747,8.710425907,8.647185598,6.353093568,3.549671679,5.068966334,10.05755969,6.997692973,10.38997112
73,1,0.732111674,4.193850331,2.787177821,-0.48358647,1.969203002,1.816646998,3.820478777,8.32053199,4.672057321,4.163517338,8.951224971,8.413828531,6.720505203,3.774372877,5.068966334,10.05755969,6.997692973,10.657449
74,1,0.667252879,4.120895479,2.826347226,-0.679364934,1.969203002,1.965192613,3.756919602,8.433966402,4.615172276,4.15118962,8.951224971,8.413828531,6.720505203,3.549671679,5.068966334,10.05755969,7.345936389,10.0316851
75,1,0.602849505,4.120895479,2.817627019,-0.744229553,2.120543759,2.013986139,3.802307268,8.275266437,4.566846809,4.217638509,9.360653666,8.596381566,7.001297508,3.360394355,5.038851862,9.997116216,7.345936389,9.846387605
76,1,0.547086309,4.077367279,2.817627019,-0.82897114,1.986455012,2.116223594,3.802307268,8.234280281,4.34005206,4.029459666,9.602578338,8.782793546,7.201452066,3.360394355,4.74590678,10.23177338,7.286234455,9.846387605
77,1,0.530980887,4.080411529,2.986655057,-0.82897114,1.986455012,2.234014049,3.830163628,8.092084328,4.27764684,3.945054736,9.360653666,8.826657969,6.918117406,3.134892168,5.038851862,10.57435564,7.286234455,9.438750245
78,1,0.519728105,4.017609541,2.97926535,-0.82897114,2.030542476,2.389614427,3.875990017,8.13669775,4.27764684,3.793555845,9.194033544,8.826657969,6.918117406,3.329295446,4.74590678,10.52149977,6.997692973,9.375705188
79,1,0.519728105,4.065542667,3.166423625,-0.873949982,1.936750832,2.265836355,3.967472405,8.291917729,4.238636942,3.646407428,9.438750245,9.01000631,6.918117406,3.329295446,5.068966334,10.52149977,6.943494414,9.123773181
80,1,0.436454628,4.071891305,3.166423625,-0.89354579,1.927352748,2.265836355,3.996259209,8.291917729,4.296313446,3.599081029,9.438750245,9.01000631,7.001297508,3.329295446,4.74590678,10.52149977,7.233314319,8.624982143
81,1,0.357186624,4.18857558,3.312099245,-0.839843607,1.810070963,2.205106669,4.013402065,8.306283115,4.30596271,3.536836414,9.438750245,9.01000631,7.001297508,3.329295446,4.74590678,10.76481563,7.286234455,8.785931347
82,1,0.337090705,4.281110076,3.159826951,-0.839843607,1.633555317,2.126567629,4.175574994,8.398764626,4.30596271,3.45148934,9.933532088,9.197080454,7.001297508,3.113596602,5.038851862,10.76481563,7.286234455,7.890945295
83,1,0.222141443,4.306627843,3.124745878,-0.794356465,1.574196499,2.113756837,4.239380784,8.506479215,4.558212148,3.494257056,9.933532088,9.423764512,7.001297508,3.113596602,5.068966334,10.76481563,7.286234455,7.650478334
84,1,0.173905824,4.369001093,3.124745878,-0.794356465,1.422911102,2.199623801,4.203348542,8.663307321,4.558212148,3.694725452,10.09199013,9.423764512,7.001297508,3.113596602,4.776923611,10.76481563,7.286234455,7.650478334
85,1,-0.029281241,4.369001093,3.076440004,-0.839843607,1.406770856,2.168714336,4.284729892,8.809463363,4.365103903,3.694725452,10.09199013,9.611461586,7.001297508,2.913896498,4.776923611,10.76481563,6.997692973,7.823664327
86,1,-0.18887782,4.326589672,3.076194246,-0.839843607,1.391344831,2.189301319,4.494629597,8.852691046,4.335082326,3.670460975,10.25447351,9.837645007,6.812403311,2.902958143,4.816658393,10.47405463,6.997692973,7.588785035
87,1,-0.355844867,4.272946331,2.994292828,-0.903415213,1.391344831,2.196787646,4.63069711,8.735718878,4.152125932,3.641974741,10.25447351,10.06617468,7.091061642,2.902958143,4.776923611,10.18342294,6.997692973,7.412322262
88,1,-0.472564172,4.300816648,2.995618875,-0.949220578,1.186049218,2.212828453,4.63069711,8.852691046,4.152125932,3.641974741,10.25447351,10.06617468,6.910856901,2.697795487,4.776923611,9.84930066,6.997692973,7.588785035
89,1,-0.472564172,4.300816648,2.995618875,-0.949220578,1.079419591,2.230114651,4.63069711,8.814921531,4.046438674,3.509291121,10.42085498,9.837645007,6.910856901,2.487012977,4.816658393,9.892928119,6.997692973,7.356442081
