time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16
38,1,2.234337574,3.076194246,9.083905757,12.00040708,10.43207014,3.891892034,8.697801203,9.708823235,18.62480662,16.30069772,9.611461586,9.483614414,27.46637867,29.10369897,23.33316371,19.20000286
39,1,2.234337574,3.076194246,8.945023048,12.00040708,10.39559097,3.891892034,8.339459377,9.770446505,18.44101041,16.13148817,9.611461586,9.483614414,27.46637867,28.81713495,23.33316371,19.28386053
40,1,2.376433061,2.787177821,8.548579772,11.58833959,10.39559097,3.891892034,8.271193144,9.837645007,18.16071426,15.96503928,9.423764512,9.602578338,27.46637867,28.598999,23.33316371,19.00259502
41,1,2.107674102,2.787177821,8.548579772,11.58833959,10.39559097,4.060542236,8.271193144,9.91034336,18.16071426,15.72225289,9.423764512,9.342570989,27.22165877,28.598999,23.31025588,18.72164124
42,1,2.234337574,2.498558108,8.417052621,11.35463385,10.36465634,4.060542236,8.271193144,9.626255011,17.79174561,15.31329018,9.239668749,9.602578338,27.46637867,28.53070173,23.31025588,18.53124993
43,1,2.234337574,2.498558108,8.290733562,11.53610917,10.07191527,3.650259512,7.984552973,9.552137502,17.70618714,15.0712399,9.01000631,9.342570989,27.46637867,28.53070173,23.01692519,18.25204162
44,1,2.234337574,2.787177821,8.169772457,11.30696032,9.779228855,3.650259512,8.054318248,9.552137502,17.62412896,15.0712399,9.01000631,9.602578338,27.55152955,28.46485012,23.31025588,18.25204162
45,1,2.234337574,2.498558108,8.169772457,10.89324245,9.752866122,3.48365006,8.054318248,9.552137502,17.54560929,15.24076533,8.826657969,9.602578338,26.98723794,28.17798286,23.31025588,17.51105073
46,1,1.972511524,2.44646406,7.901007176,10.70984748,9.73232916,3.48365006,7.847252746,9.266979807,16.90139905,15.0712399,8.647185598,9.468675149,27.14505402,28.11404222,23.33316371,17.51105073
47,1,1.972511524,2.156191212,7.901007176,10.89324245,9.73232916,3.240544545,8.130302521,9.342570989,16.54298833,15.0712399,8.596381566,9.73232916,26.98723794,28.17798286,23.01692519,17.60117583
48,1,1.972511524,2.156191212,7.512969051,10.85509644,9.73232916,3.240544545,8.212398497,9.266979807,16.18668055,14.90461684,8.413828531,9.73232916,27.14505402,27.89124367,23.01692519,17.41670472
49,1,1.84100197,2.44646406,7.633371526,10.6657341,9.73232916,3.076194246,8.021143307,9.266979807,15.61552813,14.90461684,8.647185598,9.73232916,27.14505402,27.89124367,22.72361116,17.13906973
50,1,1.84100197,2.737027316,7.633371526,10.6657341,9.717642357,2.831486445,7.847252746,8.982193322,15.1936987,14.66193519,8.413828531,10.1263422,27.23642119,27.53956867,22.72361116,17.13906973
51,1,1.84100197,2.99004571,7.512969051,10.85509644,9.73232916,2.590287,7.931145845,8.910863048,14.90678972,14.66193519,8.182902842,10.1263422,27.14505402,27.82674452,22.43031435,17.04313167
52,1,1.84100197,2.697795487,7.783125772,10.85509644,9.73232916,2.831486445,7.931145845,8.910863048,14.84367976,14.83059745,7.769584321,10.1263422,27.14505402,27.47703474,22.43031435,16.95071548
53,1,2.107674102,2.697795487,7.670976017,10.85509644,9.73232916,2.831486445,7.931145845,8.845414466,14.49625108,14.66193519,7.769584321,9.997116216,26.98723794,27.41704878,22.45395642,16.95071548
54,1,1.719799799,2.405693125,7.56471139,10.63256737,9.438750245,2.669649888,7.931145845,8.845414466,14.44070926,14.42067532,8.001197709,9.997116216,26.58171693,27.0709637,22.16093266,16.58110156
55,1,1.719799799,2.376433061,7.56471139,10.63256737,9.166581857,2.669649888,7.931145845,8.497404595,14.34256829,14.42067532,8.001197709,9.997116216,26.42657725,26.78240248,22.18799094,16.58110156
56,1,1.84100197,2.669649888,7.670976017,10.63256737,9.166581857,2.831486445,7.931145845,8.497404595,14.34256829,14.25291512,7.769584321,9.997116216,26.33284866,26.49394405,22.18799094,16.21320344
57,1,2.107674102,2.358821178,7.56471139,10.63256737,9.166581857,2.669649888,7.931145845,8.497404595,14.00873957,14.01101484,7.769584321,9.997116216,26.16120603,26.14871128,21.89528586,16.02066869
58,1,2.107674102,2.358821178,7.56471139,10.41243824,8.873501665,2.669649888,8.021143307,8.497404595,13.97001823,14.01101484,7.540591533,9.997116216,26.32594578,25.80522582,21.60261194,16.11305865
59,1,1.991096661,2.652712842,7.464482412,10.41243824,8.873501665,2.515842552,8.021143307,8.209124455,13.90606904,14.25291512,7.540591533,9.997116216,26.25129755,25.22693865,21.30997022,16.20912515
