time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17
-12,0,5.294117647,7.286234455,6.653889857,5.882352941,8.558153614,9.194033544,10.34493819,19.90987214,11.82394076,10.83052546,17.37034926,14.66193519,10.76481563,21.20289479,22.5530316,21.18968602,21.67243306
-11,0,5.530890465,6.997692973,6.653889857,5.790550781,8.36860962,8.873501665,10.40963164,20.0259381,11.65079983,10.66297289,17.38387952,14.66193519,11.10143023,21.48529003,22.63610546,20.94244361,21.67243306
-10,0,5.530890465,7.345936389,6.709428963,5.790550781,7.954538556,9.145193713,10.12348251,19.7566006,12.00040708,10.49919074,17.38387952,14.44960661,10.52149977,21.19133748,22.63610546,20.53578126,21.64972068
-9,0,6.012732486,7.286234455,7.058823529,5.790550781,7.954538556,8.851660987,9.770446505,19.7566006,12.41265896,10.49919074,17.40126356,14.17412472,10.8113883,20.89738868,22.35452241,20.53578126,21.45260827
-8,0,6.012732486,7.57503431,7.058823529,5.790550781,7.954538556,8.873501665,9.837645007,19.36920457,12.41265896,10.33929978,17.10778879,13.8992045,10.76481563,20.89738868,22.0732059,20.12942278,21.45260827
-7,0,6.421463435,7.57503431,7.126781252,5.706043955,7.728873534,8.851660987,9.770446505,19.36920457,12.59305462,10.33929978,17.10778879,13.69672362,11.0556989,20.88903657,22.0732059,20.12942278,21.03730356
-6,0,6.257446594,7.769584321,7.126781252,5.706043955,7.540591533,8.873501665,9.770446505,19.36920457,12.18009631,10.09199013,16.81433134,13.79593566,11.34669792,20.88903657,22.0732059,19.972303,20.84221487
-5,0,6.421463435,8.060943124,6.943494414,5.62900647,7.314365539,8.851660987,10.05755969,18.98276486,12.18009631,10.25447351,16.79647919,13.79593566,11.34669792,20.59499573,22.0732059,19.88207481,20.40332104
-4,0,6.257446594,8.352422897,6.943494414,5.497981352,7.540591533,8.873501665,10.05755969,19.2535625,11.76728566,9.528340041,16.79647919,13.79593566,11.30696032,20.58992557,22.44134985,19.72338316,20.40332104
-3,0,6.098801332,8.644015888,6.896322598,5.786541659,7.540591533,8.609100354,9.708823235,19.2535625,11.94944651,8.972910024,16.78258407,13.79593566,11.30696032,20.58992557,22.16093266,19.47546614,20.18615811
-2,0,5.945761215,8.644015888,7.148162605,5.734286818,7.356442081,8.352422897,9.770446505,19.2535625,11.12290597,8.972910024,16.48871113,14.07234451,11.27244258,20.58992557,22.16093266,19.47546614,19.98788634
-1,0,6.055850664,9.194033544,7.148162605,5.689871674,7.176612673,8.442817508,9.770446505,19.2535625,10.47964396,8.873501665,16.48871113,14.07234451,11.27244258,20.58992557,21.8808083,19.22858274,19.77057357
0,0,6.055850664,8.935714989,7.148162605,5.444282885,7.176612673,8.442817508,9.770446505,18.98276486,10.6657341,8.468533108,16.48871113,14.34927553,11.24317797,20.59499573,21.79216432,19.22858274,19.77057357
1,1,6.055850664,8.644015888,7.187264327,5.444282885,7.176612673,8.103923182,9.770446505,18.71252279,10.6657341,8.378312254,16.47864474,14.25291512,11.21919492,20.60344376,21.79216432,19.22858274,19.98788634
2,1,5.657453489,8.935714989,7.187264327,5.398629135,7.176612673,7.813541712,9.770446505,18.59732845,10.47964396,8.378312254,16.47864474,14.16058526,11.21919492,20.59499573,21.7064654,19.22858274,20.20675748
3,1,5.398629135,8.901532115,7.187264327,5.444282885,7.176612673,7.233314319,9.770446505,18.86887478,10.47964396,8.378312254,16.48871113,14.07234451,11.53610917,20.59499573,21.79216432,19.22858274,20.42714676
4,1,4.886903714,8.901532115,7.187264327,5.497981352,7.176612673,7.233314319,9.770446505,18.98276486,10.47964396,8.542193451,16.19484497,14.16058526,11.24317797,20.00691946,21.79216432,19.22858274,20.42714676
5,1,4.485009116,8.935714989,7.345936389,5.559601806,7.356442081,7.523334621,9.483614414,18.98276486,10.6657341,8.378312254,15.90098589,14.44070926,11.24317797,20.29582758,21.8808083,19.22858274,20.20675748
