time,ex,nucleus1
-29,0,5.604562575
-28,0,6.087104015
-27,0,6.470588235
-26,0,6.856261395
-25,0,7.243916645
-24,0,7.366938848
-23,0,7.759418802
-22,0,7.233314319
-21,0,7.233314319
-20,0,7.112506048
-19,0,7.112506048
-18,0,7.258038814
-17,0,7.258038814
-16,0,7.408837123
-15,0,7.56471139
-14,0,7.56471139
-13,0,7.813541712
-12,0,7.72547509
-11,0,7.72547509
-10,0,7.971221807
-9,0,7.971221807
-8,0,8.133596213
-7,0,7.890945295
-6,0,7.650478334
-5,0,7.650478334
-4,0,7.890945295
-3,0,8.133596213
-2,0,8.471744107
-1,0,8.882851437
0,0,8.951224971
1,1,9.03160052
2,1,9.123773181
3,1,8.972910024
4,1,9.227513673
5,1,9.342570989
6,1,9.741134219
7,1,9.884212858
8,1,9.629211901
9,1,9.375705188
10,1,9.528340041
11,1,9.279101287
12,1,9.03160052
13,1,8.624982143
14,1,8.785931347
15,1,8.542193451
16,1,8.378312254
17,1,8.133596213
18,1,8.133596213
19,1,7.72547509
20,1,7.481820691
21,1,7.481820691
22,1,7.481820691
23,1,7.240383557
24,1,7.240383557
25,1,7.412322262
26,1,7.240383557
27,1,7.001297508
28,1,7.001297508
29,1,6.830697271
30,1,7.073162207
31,1,6.830697271
32,1,6.665018832
33,1,6.665018832
34,1,6.830697271
35,1,6.590623821
36,1,6.421463435
37,1,6.590623821
38,1,6.353093568
39,1,6.590623821
40,1,6.764705882
41,1,7.126781252
42,1,7.126781252
43,1,7.356442081
44,1,7.126781252
45,1,7.126781252
46,1,7.356442081
47,1,7.588785035
48,1,7.412322262
49,1,7.650478334
50,1,7.481820691
51,1,7.481820691
52,1,7.240383557
53,1,7.001297508
54,1,6.830697271
55,1,6.830697271
56,1,6.830697271
57,1,6.590623821
58,1,6.830697271
59,1,6.590623821
60,1,6.421463435
61,1,6.421463435
62,1,6.180339887
63,1,6.180339887
64,1,6.012732486
65,1,6.180339887
66,1,6.180339887
67,1,6.012732486
68,1,6.257446594
69,1,6.012732486
70,1,6.012732486
71,1,5.770490249
72,1,5.770490249
73,1,5.770490249
74,1,5.770490249
75,1,5.604562575
76,1,5.361126443
77,1,5.120382667
78,1,4.829867628
79,1,4.602839834
80,1,4.416359173
81,1,4.602839834
82,1,4.602839834
83,1,4.379540423
84,1,4.602839834
85,1,4.416359173
86,1,4.416359173
87,1,4.18852903
88,1,3.964559208
89,1,3.744746322
90,1,3.744746322
