time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11
-29,0,6.28263241,0.825552976,8.4982057,14.56227855,20.05886237,27.47703474,36.08346903,8.06325368,14.99056847,4.710337658,14.44070926
-28,0,6.66918946,1.229204157,9.01077811,14.64831913,20.39917052,27.53026273,36.31574398,8.56568596,15.52984975,4.790186457,14.27087912
-27,0,6.74930058,1.54081212,9.20621727,14.78815682,20.74170088,28.17667918,36.66445352,8.84756289,16.18376894,4.634317267,14.47627427
-26,0,6.93126581,1.977549887,9.10941089,14.88899232,20.97212456,28.58869887,37.51717036,9.01600015,16.41257248,4.602839834,14.11764706
-25,0,7.01502988,2.206257493,9.37307231,15.1091851,21.53342216,28.64788152,37.60469498,9.0993318,16.56606491,4.865005783,14.04738219
-24,0,7.05389067,2.530933899,9.64140276,15.21109403,21.6919867,28.64788152,37.78944284,9.0993318,16.87486409,4.737026681,13.98141506
-23,0,7.26024393,2.72933678,9.61978473,15.33364118,21.79317329,28.88485489,38.02092715,9.49085076,16.95265409,4.886903714,14.26863453
-22,0,7.43364742,2.888235842,9.30104528,15.34852575,21.8080007,28.71209264,38.09256403,9.68043026,16.75540298,4.776923611,13.91979063
-21,0,7.34878256,2.888235842,9.04777439,15.40305374,21.95201506,28.30159966,38.21434316,9.7733098,16.75540298,4.776923611,14.15155364
-20,0,7.27082299,2.97548417,9.03718646,15.36963783,21.95201506,28.13101809,38.39138739,9.85949186,16.69617966,4.860620361,13.80973759
-19,0,7.2655346,3.328321734,9.15302705,15.39324681,22.1566526,28.37166193,38.58601249,9.65750245,16.61814725,5.0603714,14.00873957
-18,0,7.17128335,3.649321933,9.47932095,15.33510354,22.22852794,28.37166193,38.69237431,9.75573283,16.65725818,4.701425001,13.67820742
-17,0,7.20255979,3.938588054,9.70386016,15.29864613,22.34186999,28.37166193,38.88825165,9.85366917,16.81496538,4.416359173,13.71753244
-16,0,7.20255979,4.009378524,9.70386016,15.41272353,22.34186999,28.28211174,38.85275871,9.95482175,16.95227558,4.347205048,13.71753244
-15,0,7.20721113,4.170859899,9.72425323,15.51167488,22.3878059,28.11926649,38.78137777,10.15664999,17.08919478,3.99826973,13.13540001
-14,0,7.21407415,4.423533543,9.66796583,15.6909204,22.52338578,28.11926649,38.71000396,10.05877119,16.97352506,3.99826973,13.0948099
-13,0,7.34878256,4.628142322,9.14767792,15.88985988,22.62798544,27.71191227,38.49592561,10.16046206,16.77952154,4.235481452,13.0948099
-12,0,7.42647059,4.742855159,9.23530171,16.17659824,22.59009306,27.95824138,38.47852003,10.2583172,16.85089805,3.901615265,12.76675095
-11,0,7.57546425,4.882801548,9.04584991,16.23816585,22.55312971,27.7990632,38.51506371,10.37148356,16.79529206,3.901615265,12.76675095
-10,0,7.57546425,5.18959541,8.75707588,16.23269191,22.64207167,27.7990632,38.32005747,10.37772928,16.87620464,4.16024206,12.14985851
-9,0,7.59071753,5.31012411,8.83936046,16.29117728,22.58842735,27.71191227,38.33871185,10.49779536,16.85089805,4.136602686,12.14985851
-8,0,7.6335855,5.52729604,8.6227995,16.42546629,22.37447761,27.7990632,38.34351452,10.60399807,16.71427739,4.122389658,11.82908177
-7,0,7.6335855,5.65060268,8.71771926,16.49525175,22.37447761,27.7990632,38.20157999,10.74219689,16.74015286,4.117647059,11.51255159
-6,0,7.70251181,5.78679227,8.86180558,16.63564677,22.25006349,27.95824138,38.09858589,10.97293824,16.63061991,4.136602686,11.48108909
-5,0,7.60809662,6.12847667,8.96555637,16.63277282,22.51709912,27.7990632,38.1306256,11.23857567,16.4945553,4.122389658,10.88507602
-4,0,7.5339073,6.3266325,9.09791053,16.84430001,22.42794902,27.89124367,38.13795816,11.46441031,16.19750567,4.136602686,10.58823529
