time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
38,1,7.062409797,2.831486445,7.001297508,13.43580464,7.495673992,4.829867628,6.485661288,22.21820071,4.865005783,3.092244995,13.25662889,14.07234451,8.782793546
39,1,7.062409797,2.831486445,7.001297508,13.19254952,7.366938848,4.829867628,6.485661288,21.92582404,4.865005783,3.092244995,13.27320537,14.27087912,8.36860962
40,1,7.356442081,2.831486445,6.830697271,12.88322366,7.366938848,4.647776157,6.485661288,21.34118698,4.816658393,3.092244995,13.27320537,14.19216247,8.143472336
41,1,7.356442081,2.831486445,7.073162207,12.47217264,7.366938848,4.647776157,6.504474833,21.04892921,4.525961612,3.000865005,13.29449593,14.11764706,8.143472336
42,1,7.062409797,2.831486445,6.910856901,12.47217264,7.366938848,4.829867628,6.485661288,20.75671378,4.525961612,3.000865005,13.00134559,14.11764706,7.921107433
43,1,7.356442081,2.91936001,6.910856901,12.06135884,7.366938848,4.829867628,6.211246207,20.20847334,4.525961612,2.81490015,13.02775638,14.11764706,7.901007176
44,1,7.062409797,2.91936001,7.317877407,12.06135884,7.101788595,4.647776157,6.211246207,19.91681663,4.575776821,2.538826834,13.05891933,14.40285,7.701660519
45,1,7.062409797,2.91936001,7.56471139,11.82394076,7.101788595,4.602839834,6.211246207,19.66558338,4.575776821,2.81490015,13.0948099,14.33362168,7.485285457
46,1,7.062409797,2.91936001,7.56471139,11.58833959,7.101788595,4.602839834,6.211246207,19.37452865,4.575776821,2.376433061,12.80323053,14.33362168,7.272144732
47,1,7.058823529,3.076194246,7.971221807,11.58833959,6.83800694,4.602839834,6.211246207,19.08354835,4.634317267,2.264170021,12.55367448,13.98141506,7.062409797
48,1,7.058823529,2.91936001,8.21894415,12.00040708,6.972430845,4.602839834,6.191939759,18.54778694,4.865005783,2.376433061,12.55367448,13.98141506,6.646464631
49,1,7.058823529,2.91936001,8.468533108,12.06135884,6.972430845,4.416359173,6.485661288,18.25762144,5.20973821,2.107674102,12.60042859,13.76138639,6.646464631
50,1,7.058823529,2.91936001,8.624982143,12.3753594,7.370435791,4.416359173,6.485661288,18.21108195,5.20973821,2.107674102,12.26297717,13.76138639,6.440382552
51,1,7.058823529,2.831486445,8.624982143,12.21279399,7.370435791,4.829867628,6.779402585,17.92042802,5.154515589,1.972511524,12.26297717,13.6944101,6.230519466
52,1,7.062409797,2.669649888,8.378312254,12.21279399,7.233314319,4.647776157,6.779402585,17.92042802,5.154515589,1.859943406,11.9723977,13.98141506,6.024508714
53,1,7.356442081,2.669649888,7.971221807,12.3753594,7.233314319,4.88252801,6.779402585,17.58586078,5.444282885,1.771096725,11.92901933,13.76138639,5.608640469
54,1,7.356442081,2.669649888,7.971221807,12.62007741,7.495673992,4.88252801,7.091061642,16.71297509,5.734286818,1.771096725,11.68194225,13.6944101,5.608640469
55,1,7.062409797,2.423193802,7.971221807,12.78378407,7.495673992,5.120382667,7.384413689,16.42218557,5.734286818,1.706914265,11.68194225,13.40762968,5.398629135
56,1,7.062409797,2.423193802,7.56471139,12.62007741,7.495673992,5.361126443,7.384413689,15.84088675,5.734286818,1.668108264,11.3916174,13.40762968,5.608640469
57,1,7.356442081,2.423193802,7.813541712,12.62007741,7.370435791,5.361126443,7.384413689,15.55038538,6.024508714,1.668108264,11.10143023,13.12108447,5.814574301
58,1,7.650478334,2.423193802,7.971221807,12.62007741,7.370435791,5.197021073,7.366938848,14.96970023,6.36451711,1.450503588,10.86327831,12.90497795,5.814574301
59,1,7.647058824,2.423193802,8.21894415,12.78378407,7.370435791,5.197021073,7.356442081,14.38947026,6.36451711,1.450503588,10.63256737,12.90497795,6.024508714
60,1,7.647058824,2.264170021,8.624982143,12.78378407,7.512969051,5.197021073,7.356442081,14.05192322,6.421463435,1.477269278,10.69607537,13.05891933,6.024508714
61,1,7.647058824,2.423193802,8.624982143,12.95081708,7.512969051,5.197021073,7.356442081,14.05192322,6.36451711,1.477269278,10.69607537,13.23054967,6.024508714
62,1,7.650478334,2.423193802,8.378312254,12.71066967,7.512969051,5.197021073,7.647058824,13.71753244,6.36451711,1.668108264,10.34493819,13.32284486,5.82257029
63,1,7.650478334,2.423193802,8.378312254,12.78378407,7.512969051,5.444282885,7.647058824,13.71753244,6.653889857,1.668108264,10.28563113,13.41937448,6.024508714
64,1,7.356442081,2.264170021,8.542193451,12.78378407,7.258038814,5.289915109,7.650478334,13.71753244,6.653889857,1.477269278,10.28563113,13.52007234,6.230519466
65,1,7.647058824,2.01580026,8.378312254,12.71066967,7.258038814,5.289915109,7.650478334,13.67820742,6.653889857,1.477269278,10.23177338,13.62487082,6.440382552
66,1,7.647058824,2.01580026,8.378312254,12.71066967,7.258038814,5.141729206,7.650478334,13.0948099,6.997692973,1.477269278,9.892928119,13.62487082,6.440382552
67,1,7.650478334,1.771096725,8.133596213,12.30051902,7.00490096,5.398629135,7.650478334,12.51173605,6.997692973,1.477269278,9.892928119,13.46159391,6.440382552
68,1,7.650478334,1.530471562,8.378312254,12.30051902,7.00490096,5.260449143,7.954538556,12.22033079,7.058823529,1.477269278,9.84930066,13.19017188,6.440382552
69,1,7.356442081,1.706914265,8.21894415,12.30051902,7.158839182,5.260449143,7.660731324,11.92901933,6.997692973,1.706914265,9.84930066,13.19017188,6.230519466
70,1,7.647058824,1.477269278,7.971221807,12.30051902,6.910856901,5.522672835,7.677801213,11.92901933,7.286234455,1.706914265,9.811386249,13.30631332,6.024508714
71,1,7.647058824,1.063390626,8.378312254,12.54135006,6.910856901,5.394468851,7.701660519,11.92901933,7.286234455,1.477269278,9.811386249,13.15923417,6.024508714
72,1,7.647058824,1.253026949,8.378312254,12.54135006,6.910856901,5.522672835,7.701660519,11.9723977,7.57503431,1.477269278,9.486600419,13.28503652,6.238219514
73,1,7.356442081,1.253026949,8.624982143,12.71066967,6.830697271,5.522672835,7.701660519,11.92901933,7.57503431,1.706914265,9.486600419,13.15923417,6.440382552
74,1,7.356442081,1.253026949,8.785931347,12.54135006,6.830697271,5.394468851,7.701660519,11.92901933,7.921107433,1.706914265,9.45970418,12.3803373,6.230519466
75,1,7.650478334,1.450503588,8.785931347,12.54135006,6.830697271,5.522672835,7.701660519,11.92901933,7.921107433,1.530471562,9.45970418,12.11198613,6.646464631
76,1,7.650478334,1.450503588,9.194033544,12.71066967,6.830697271,5.522672835,7.408837123,11.63780662,7.921107433,1.530471562,9.166581857,12.11198613,6.646464631
77,1,7.356442081,1.450503588,9.194033544,12.54135006,6.590623821,5.522672835,7.116076426,11.63780662,7.921107433,1.530471562,9.486600419,11.84449537,6.440382552
78,1,7.356442081,1.450503588,9.194033544,12.3753594,6.590623821,5.522672835,7.091061642,11.59876595,8.209124455,1.530471562,9.486600419,11.72337527,6.440382552
79,1,7.356442081,1.668108264,9.360653666,12.62007741,6.530762226,5.522672835,7.091061642,11.27244258,8.209124455,1.530471562,9.194033544,11.45482439,6.230519466
80,1,7.062409797,1.668108264,9.531316855,12.45979068,6.530762226,5.522672835,6.797747718,11.27244258,8.209124455,1.530471562,9.194033544,11.06647092,6.024508714
81,1,7.062409797,1.668108264,9.770446505,12.70822732,6.353093568,5.394468851,6.823383084,11.24317797,8.209124455,1.530471562,8.873501665,10.95029043,5.814574301
82,1,7.062409797,1.668108264,9.705882353,12.80565984,6.530762226,5.394468851,6.823383084,11.24317797,8.209124455,1.530471562,8.873501665,10.83872002,5.814574301
83,1,7.062409797,1.655122646,10.29694544,12.80565984,6.530762226,5.394468851,6.823383084,10.95029043,8.209124455,1.530471562,8.58046633,10.73185779,5.814574301
84,1,7.062409797,1.655122646,10.52985739,12.80565984,6.713122207,5.394468851,6.856261395,10.92586632,8.209124455,1.530471562,8.609100354,10.73185779,5.814574301
85,1,7.062409797,1.866245606,10.52985739,12.55367448,6.485661288,5.273087763,6.896322598,10.63256737,8.209124455,1.362737545,8.644015888,10.53264227,5.814574301
86,1,7.062409797,1.866245606,10.52985739,12.40272023,6.485661288,5.273087763,6.896322598,10.61318758,8.209124455,1.530471562,8.644015888,10.53264227,5.608640469
87,1,7.058823529,2.083290929,10.35339192,12.51173605,6.485661288,5.273087763,6.896322598,10.63256737,8.153341044,1.771096725,8.685164852,10.53264227,5.82257029
88,1,7.058823529,2.083290929,10.35339192,12.51173605,6.485661288,5.158774141,6.896322598,10.63256737,7.864075134,1.609472075,8.685164852,10.44047617,6.024508714
89,1,7.058823529,2.083290929,10.35339192,12.37038007,6.676137201,5.158774141,6.896322598,10.63256737,7.864075134,1.771096725,8.685164852,10.44047617,5.814574301
90,1,7.058823529,1.891396773,10.52985739,11.9723977,6.45549535,5.327676392,6.896322598,10.63256737,7.864075134,1.609472075,8.442817508,10.72085649,6.024508714
