time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14
-29,0,5.497981352,7.629947384,15.9154667,18.01834683,8.542193451,7.384413689,3.282428141,2.498558108,7.523334621,13.84419821,10.33929978,11.72337527,11.49420576,20.88402401
-28,0,5.154515589,7.629947384,15.9154667,17.6298636,8.542193451,6.797747718,3.203720989,2.892004626,7.813541712,13.25662889,10.43487266,11.24051493,11.51255159,20.88402401
-27,0,5.497981352,7.512969051,15.6909204,17.75566016,8.133596213,6.823383084,3.564835164,2.63007163,8.024464603,13.23766588,9.863857375,11.24051493,11.53610917,20.58992557
-26,0,6.199666332,7.660731324,15.43006469,17.36067977,8.064254303,7.187264327,3.488746876,2.370567109,7.701660519,12.95081708,9.73232916,11.07185423,11.27244258,20.88235294
-25,0,6.556989826,7.660731324,15.43006469,17.75566016,8.169772457,7.187264327,3.092244995,2.107674102,7.091061642,12.96286057,9.602578338,10.90684386,11.27244258,20.88235294
-24,0,6.635317909,7.660731324,15.17441252,17.09800442,8.027785053,7.148162605,2.071067812,1.84100197,7.073162207,12.9797079,9.375705188,10.83872002,11.30696032,20.88235294
-23,0,6.918117406,8.064254303,14.92416418,17.36067977,8.027785053,6.896322598,1.14135677,1.84100197,7.062409797,12.9797079,9.375705188,10.43487266,10.61318758,20.88235294
-22,0,7.001297508,8.21894415,14.38947026,17.09800442,7.914410824,7.187264327,0.778494913,0.793445766,6.768381779,12.9797079,9.279101287,10.28563113,10.30542568,20.58823529
-21,0,7.001297508,9.120710452,13.23054967,17.23070292,7.72547509,7.286234455,0.494571086,0.525968891,6.768381779,13.27320537,8.951224971,10.43487266,10.29694544,20.58823529
-20,0,7.091061642,9.531316855,12.70822732,17.23070292,7.481820691,6.896322598,0.302281287,0.860252602,6.764705882,13.56672247,9.602578338,10.79770471,9.779228855,20.00173004
-19,0,7.187264327,9.705882353,12.26297717,17.10387556,7.240383557,6.943494414,0.008643049,0.710731717,6.180339887,13.25662889,10.47964396,10.6878063,9.652845538,20
-18,0,7.187264327,9.652845538,11.76728566,16.83811151,7.412322262,7.187264327,-0.284935429,0.710731717,6.176470588,12.9797079,9.942218583,11.09068161,8.624982143,19.70763299
-17,0,7.187264327,9.611461586,11.48371326,16.71297509,7.823664327,6.943494414,-0.257495442,0.494571086,5.588235294,12.9797079,9.942218583,11.80593486,8.494199702,19.71288416
-16,0,7.187264327,9.581829713,11.69231015,16.35747805,7.588785035,6.653889857,-0.257495442,0.494571086,5.592319474,13.27320537,9.360653666,12.77648616,7.931145845,19.71288416
-15,0,7.289754362,9.581829713,11.97749375,16.13762778,7.412322262,6.653889857,-0.840548346,0.860252602,5.592319474,12.96286057,9.471664235,12.59305462,7.56471139,19.41885085
