consecutive,period,fold,cor,mae,rmse,no_perfect,no_data,no_data_full
4,8,1,0.80639775160412,2.61475409836066,4.88473701827488,57,122,127
5,8,1,0.816638144745938,3.07826086956522,5.55916790770768,50,115,127
1,9,1,0.734203154547146,5.83464566929134,7.9153991249391,9,127,127
2,9,1,0.804877216604467,3.59842519685039,5.91075357919917,47,127,127
3,9,1,0.858812078636742,2.38095238095238,4.31865646362311,59,126,127
4,9,1,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,9,1,0.817946387665674,3.0695652173913,5.53172667437573,50,115,127
1,10,1,0.718675015107011,6.19685039370079,8.26481013781764,8,127,127
2,10,1,0.729705692812113,4.28346456692913,6.86999638964249,42,127,127
3,10,1,0.857218087115791,2.45238095238095,4.37071785902209,58,126,127
4,10,1,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,10,1,0.819181830517273,3.06086956521739,5.50572824231826,50,115,127
1,11,1,0.73133034487169,6.26771653543307,8.23378865350278,7,127,127
2,11,1,0.788253609795551,4.10236220472441,6.34754587086042,43,127,127
3,11,1,0.856241560583629,2.43650793650794,4.3415672687644,58,126,127
4,11,1,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,11,1,0.813807634624026,3.09565217391304,5.61829310300774,50,115,127
1,12,1,0.70889744832397,6.53543307086614,8.56563358661562,7,127,127
2,12,1,0.737130102850298,4.38582677165354,6.88773873501963,42,127,127
3,12,1,0.837436515803848,2.52380952380952,4.64792153582379,58,126,127
4,12,1,0.804380105846443,2.55737704918033,4.90733809851275,57,122,127
5,12,1,0.815258183446561,3.08695652173913,5.58803068679135,50,115,127
1,13,1,0.721040077502102,6.75590551181102,8.65798070691197,6,127,127
2,13,1,0.791803799603185,4.2755905511811,6.39081525981149,41,127,127
3,13,1,0.834625709248901,2.53174603174603,4.68618367761204,58,126,127
4,13,1,0.801699782194862,2.5655737704918,4.94477700934341,57,122,127
5,13,1,0.79577154120001,3.17391304347826,5.86144365656878,50,115,127
1,14,1,0.715473188961527,6.81102362204724,8.73178644311627,7,127,127
2,14,1,0.781920068863379,4.46456692913386,6.59575143618026,40,127,127
3,14,1,0.834625709248901,2.53174603174603,4.68618367761204,58,126,127
